,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
838,je,aime,peux,sans,toi,ne,rien,faire,pas,oh,es,tu,mon,amour,ma,adore,pax,journee,voyager,sortir,lumiere,de,confidante,seul,danser,espoir,seule,chanter,soleil,dormir
840,shifted,shoesoh,eight,came,headlines,dollar,gears,your,wonders,hundred,cruise,flew,rolled,town,and,page,you,book,seven,movie,ve,in,songs,the,hooksyou,fatethe,headlnes,monies,bellboys,handsyour
841,christmas,rocking,fashioned,tree,merrily,boughs,holly,jolly,halls,sentimental,deck,holiday,the,voices,around,old,singing,dancing,new,carolingyou,happy,everyone,pumpkin,onyou,way,tries,mistletoe,feeling,have,let
842,anymore,missing,you,gang,touching,really,girl,loving,want,what,kissing,is,shattering,that,now,nonsense,with,gone,figured,get,your,won,no,glass,fucked,probably,mad,tired,everyone,cause
848,you,see,again,ll,beside,lefti,forgotten,walk,feel,againyou,never,gone,really,someday,mei,mostyou,againwhen,not,know,crazy,tell,myself,haunt,me,againi,but,darkest,blessed,to,had
852,healer,will,once,time,again,you,be,lift,his,the,stand,best,name,oohtime,that,and,endtime,thisthat,againkeep,knowtime,your,ooooooh,againone,friend,prevail,neighbours,up,defeat,other,bond
853,or,nothing,wait,bluffin,either,it,all,forever,now,live,between,alive,can,dead,hand,bottle,play,gotta,yeah,overflowin,you,your,no,half,rehearsal,never,there,life,re,resistance
854,cell,dead,data,anti,mold,social,cut,process,plug,da,the,bomb,turn,control,yourself,seizin,them,no,of,soul,opportunity,born,cheek,lack,then,from,make,em,hairier,scarierkids
856,scream,you,pushing,me,try,make,agony,punch,leave,it,torture,cool,swear,pretty,but,beat,wish,please,bad,and,got,when,the,on,cause,why,good,would,its,don
857,walk,given,on,to,you,ve,nothing,left,waste,want,avalos,never,see,joey,again,all,watch,anymore,away,there,am,love,say,moving,take,sorry,time,and,pout,but
858,man,who,like,about,youi,me,cry,shoulder,can,what,beside,too,live,will,tought,that,my,lay,fighti,under,crazy,stand,twin,aroundi,without,laughin,thumb,tender,do,breaks
859,00,player,playeri,playerno,playero,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,played,playoff
861,clumsy,oh,whoa,whooooa,bangin,again,bedroom,closer,oops,call,hey,clu,againcall,whooooaclumsy,insane,over,and,fool,far,pain,this,it,againclumsy,better,than,day,away,foolin,me,all
862,maggot,brain,on,come,go,00,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,playoff
863,half,sweetness,kindness,faces,happy,your,of,world,would,had,then,the,if,be,all,in,playerno,playeri,playero,playerplaya,players,playersee,playgrounds,playfulness,playground,player,playhell,playhonest,playif,playin
864,swarming,soldier,army,underground,you,too,ill,surrounding,be,better,protect,will,ll,feel,want,say,sed,city,just,if,your,for,when,and,me,lense,toocan,knownand,youlost,the
865,wings,gibson,was,elder,utah,from,the,blessings,heartbeat,spoke,paper,smith,and,two,peace,bought,above,past,lasti,living,went,traveled,old,real,gone,light,thing,of,my,they
866,lucky,what,you,that,like,it,for,strawberry,silk,deserve,yougold,jewelry,want,sheets,champagne,baby,sex,me,shining,girl,pop,bright,ice,and,cadillac,diamonds,drop,on,pimp,tell
867,wit,bitch,yeah,fuck,nigga,the,gon,it,me,her,sixer,sizzurp,wherever,blister,commando,ridin,get,up,rambo,like,brink,young,niggas,pop,send,lambo,lip,pole,clip,tell
868,for,oooh,floor,warmin,me,it,off,babyversace,versace,girl,more,take,kiss,the,re,no,you,til,now,naked,won,let,on,dress,need,nakedversace,girlversace,danceit,anymore,unzip
869,need,fresh,air,ma,breathe,mad,girl,right,lookin,wastei,out,to,chase,auto,pilot,pacific,long,backyard,own,bad,cookin,away,stretch,breakfast,too,where,codeine,tell,toes,been
870,found,we,our,believin,standin,stopped,wings,never,looking,picked,search,together,re,pieces,me,fall,whateverwe,withstood,forwe,you,shine,fell,reason,behind,gave,still,itwe,didn,what,dues
871,monster,ate,er,he,boy,heart,bo,that,him,my,love,is,she,hot,hell,could,talk,girl,erhe,seen,mumbled,wanna,her,amaze,instead,as,me,girlfriend,uh,something
872,nobody,until,touched,feels,ever,me,loved,knew,you,like,wanna,whateverit,baby,make,shoulders,worse,just,neededi,dhdmdbd,feel,weatheri,yousee,work,youbaby,it,run,youit,don,made,your
873,everyboy,feel,dance,wanna,make,good,come,hey,eight,let,you,seven,on,six,shake,five,four,three,with,floor,me,body,the,hit,two,natural,one,bein,we,baby
874,que,quiere,el,silencio,decir,huye,rompe,callar,llega,hay,esperar,pronto,no,corazã³n,de,porque,al,amor,darã,palabras,quiera,un,sin,te,en,tres,mi,las,por,se
875,oh,real,you,no,are,imaginary,head,certain,person,talk,re,bed,yeah,cause,never,am,see,an,to,my,in,so,go,do,trying,but,what,can,all,me
877,supernatural,it,feel,than,so,deny,pulled,the,losing,more,physical,taking,matter,late,glow,feels,of,beyond,seeing,other,and,too,collidenow,supernaturalevery,supernaturalthrough,knownbut,can,try,everything,glimpses
878,diga,baby,mi,vuelve,llama,name,loco,como,insane,se,driving,lothano,conio,peggy,marianna,411,loretta,nothin,your,hermano,mama,what,barrio,lou,romeo,sue,is,mary,every,me
879,sex,dreams,were,nasty,my,in,damn,you,making,kinda,trashy,youlast,doing,night,help,was,naughty,tomorrow,love,lay,boyfriend,both,really,bed,things,weekend,when,think,run,of
881,fight,middle,back,want,the,baby,come,used,in,of,memory,laundered,towels,and,you,night,desk,sleep,this,drawer,with,to,don,washed,me,advice,do,all,sheets,us
884,kick,fella,head,ain,yoo,grinnin,hugged,beginnin,quick,the,quote,sailor,tee,bee,said,spinnin,kissed,boat,hole,fulshe,fuli,keeps,like,wed,be,she,once,in,sleep,tell
885,na,electric,single,youcover,blue,dream,cover,eyes,every,about,found,night,my,outna,bluenow,thought,head,around,you,it,get,electrocute,nanow,eletric,bluesnow,outcover,thousand,naa,sing,but
886,woke,up,thank,sayitainttone,the,yea,gotta,bitch,god,my,it,get,dollars,killing,to,living,out,stretched,that,they,guest,hit,way,mothafuckin,realest,mill,tone,wake,like,pot
887,jones,vs,believe,hardest,baby,breaking,we,where,so,here,just,babe,out,can,part,it,received,love,step,papers,the,and,all,crazy,believed,is,notice,go,of,sign
888,00,player,playeri,playerno,playero,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,played,playoff
889,mean,you,big,someday,be,and,ever,gonna,knowsomeday,ll,old,is,city,living,all,re,enough,hit,so,me,can,gotta,why,with,meanbut,ranting,grumbling,humiliation,manwell,chalkboard
890,her,she,the,you,hopand,hip,to,my,on,tryin,most,me,tears,cry,be,would,took,and,two,special,fuck,guzzlin,awaytoday,menstruates,khaledand,hershoppin,sweetsi,808s,onyxconfused,shea
894,merry,christmas,his,goodies,92,many,spy,offering,to,phrase,reindeer,sleigh,toys,loaded,santa,lots,and,simple,ways,child,kids,mother,on,nipping,tots,eskimos,he,chestnuts,roasting,fly
895,frenchie,dey,da,bloodzz,whea,alreadyy,suwwwooooo,undaground,baq,ull,knooo,nd,sed,kno,neva,you,clown,dat,wayne,crew,dumb,ridin,weak,fake,gang,dog,alive,hell,ass,sleep
896,mm,ooh,my,diamonds,wraith,left,pull,pants,up,you,ghost,write,all,gatorade,on,verse,vent,compliment,gabbana,goat,now,in,dolce,statement,right,yeah,like,shoe,chillin,sins
897,running,young,gods,the,flying,underneath,and,soundsbut,streets,we,you,ll,be,god,two,people,heaven,through,re,again,swimming,drowning,pool,us,with,bottom,of,sitting,know,thoughts
899,we,ourselves,box,forgot,knowing,strange,carry,lostwe,built,people,find,not,as,takeswe,lostthere,come,tryingwe,since,to,reminding,re,without,want,going,on,breaks,you,stare,build,kid
903,she,haunting,parts,soft,queen,meoh,her,deep,mine,is,inside,call,well,of,night,could,be,me,the,all,and,to,skims,blouseoh,starsoh,digs,warms,boils,ribs,twinkle
904,believei,believe,it,cuz,oldhappy,schooleven,informed,ones,believewhat,easter,gospel,mewhy,bunny,the,suspicious,meals,true,concerned,miracles,indeed,confusing,relief,especially,issues,enjoy,facts,things,moments,written,them
905,brighter,mine,was,you,admit,shadow,bigger,mistakes,leaves,we,were,always,time,the,story,shine,last,wake,put,because,then,wrong,another,tell,love,for,made,and,fell,our
906,higher,birdie,oh,fly,bird,can,fire,away,avoid,flames,cage,me,you,set,locked,and,escape,down,free,listenin,prisoner,how,so,chorus,no,pull,more,place,hold,your
907,lasting,impression,clearly,sight,sleeping,picture,the,doesn,ve,wake,lights,made,if,wrong,making,been,in,night,then,so,right,is,feel,qualifications,you,meet,our,with,outfits,just
908,lost,control,ve,blame,ay,again,always,same,don,monsters,do,chaos,knowi,am,not,the,to,inside,oohtired,watching,whatever,pray,ummm,ayi,hide,know,dead,who,knowso,homeso
909,her,desert,him,ruba,the,swimsuit,gulf,recite,that,my,matter,avoiding,sailed,attempt,display,curious,november,undress,coffin,stares,florida,relief,freezing,to,warmth,take,longing,surprised,laughed,balance
911,the,lured,brick,up,whiskey,fall,turn,it,you,european,my,deal,own,son,count,suits,ll,with,diamonds,to,nothin,mothafuckin,music,lies,from,did,in,for,bitches,that
912,already,know,you,so,when,moves,wondering,stop,arcade,slow,fast,how,move,why,sad,haha,bad,it,sometimes,passed,missed,please,knowplease,feel,well,knowsometimes,knowwell,knowshe,goshe,said
913,santa,he,next,if,year,tell,really,won,cares,here,me,be,christmas,boysanta,fall,again,love,it,give,away,all,thinks,in,make,cause,there,don,heresanta,yearsanta,smartoh
914,wantin,she,valley,let,you,mountains,me,everything,magic,dreaming,just,everywhere,safe,been,in,story,told,control,low,there,ve,the,under,top,faster,ooh,then,screaming,ran,be
916,vibe,sayin,dig,85,been,rollin,freeway,you,anger,ve,on,millions,too,weren,my,chest,riding,fit,the,picture,gotta,way,drive,shottas,topless,parkin,up,thinking,got,gon
918,treacherous,and,sigh,beg,prove,scream,light,prospective,kneading,lofty,puddled,morsels,assuring,denyso,wrangle,tattered,shimmering,urn,burying,alive,crowned,nowbut,lifeif,there,dangling,alright,my,glare,angles,alibi
919,wendy,peter,wakes,pan,dying,singingbe,live,dreams,my,can,thin,baby,flying,plans,we,crying,be,pancome,cancerssingingin,feel,dreamand,you,blood,it,keep,ll,your,forgiven,re,sickness
925,and,miss,dandelion,you,sis,recover,flower,although,little,me,to,away,dutifully,befriended,stabilitya,gravitated,patriarch,miserya,scatteringchorus,despondency,sanitychorus,predictavly,sleepchorus,brotherso,undividedness,youi,but,really,chipping,bonded
928,drumsticks,meal,eat,depressed,breast,chicken,stress,bird,deal,does,health,the,must,just,you,two,life,uneatablemeat,vegetable,crimeeat,cowhow,leave,injected,hormone,taking,one,strong,not,that,fly
930,macheath,macky,babe,tawdry,sukey,lenya,lotte,dontcha,spends,forms,jenny,diver,ole,lucy,dear,cement,shark,he,mack,the,brown,teeth,oh,old,could,out,oozin,townd,redon,back
931,backwards,feels,go,hopes,again,only,ahead,says,part,like,darling,every,oh,baby,no,not,got,darlingi,darlingseed,feelsit,my,showit,up,of,we,indecision,me,it,decided,silly
933,no,weighing,sanity,bother,about,think,through,left,to,nothing,thought,all,prove,after,lose,don,used,me,anymore,never,you,leave,could,now,found,that,my,lost,been,becamei
934,sleep,all,mountain,and,day,we,time,he,it,take,over,go,on,make,said,to,the,oh,they,grounded,react,of,would,compromise,was,should,often,reasons,but,what
936,oh,long,winding,way,ohh,home,take,the,longoh,homeoh,yourself,road,you,will,find,doorlife,homesinking,timelife,hidegive,homeohh,undertone,doesn,homeso,thereyou,on,wait,re,when,know,there
937,private,hell,you,the,your,of,inside,unrecognizable,catalogues,prod,waned,emma,grandchildren,edward,numerous,occasions,ageing,valium,terry,at,mirrored,weekly,he,wanted,and,nameless,think,once,usual,as
938,40,aka,the,cars,hundred,like,finna,it,my,bust,business,nigga,you,got,campaigning,chainsbust,skybust,triggamoney,jacklsons,backhop,wares,braxtons,businesses,torres,that,couple,and,whatever,jc,bladder
939,00,player,playeri,playerno,playero,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,played,playoff
941,used,runwe,to,sun,walk,we,until,talk,come,glow,had,up,last,the,admired,leavewe,fireday,calcite,firein,into,your,rockies,timejust,greens,runi,strangest,upstairs,entire,divided,guest
942,fire,outthere,gasoline,soul,put,in,suredo,you,burn,mouth,control,wonder,methere,out,my,could,it,there,mixed,pure,touched,over,champagne,only,atouch,come,athere,make,of,somebody
943,we,found,lost,were,find,always,our,will,way,never,but,that,and,playground,playfulness,playersee,players,playerplaya,playero,playful,playgrounds,playin,playhonest,playif,playing,playingpush,playingrococo,playingthere,playit,playlet
944,speck,laughing,alright,king,look,the,dust,runningfor,tonightcome,gardenyou,bonethe,everyonecan,nothingbut,nothingit,sayingdon,bit,tonighttake,on,waged,sunyou,went,out,sky,faults,of,asks,meso,salt,violence,me
945,amazing,so,memy,reign,it,as,monster,never,matter,far,yea,no,what,killeri,maveni,amazingso,podium,sodium,victorious,thatif,hes,eyes,warriors,that,its,solved,bred,gave,exhausted,strive
946,pie,potato,today,sweet,she,than,as,girlziña,jalapeño,portato,refine,loon,lullabye,juvenile,freddy,soulful,my,strictly,softer,fellow,to,honeymoon,belonged,the,crocodile,testify,silk,spoon,june,hotter
947,suffer,well,mess,oppressed,amnesia,possessed,blades,razor,digging,confess,heal,fears,killed,thousand,burn,such,reason,ve,set,house,times,until,fire,found,it,another,left,can,than,all
949,darlin,things,to,tell,right,make,do,me,what,you,love,for,girl,know,babydarlin,chance,should,if,askin,can,try,baby,find,ll,be,whereyou,woun,are,oh,they
950,cry,hopelessly,breathe,cause,silently,never,ll,knewi,love,againif,know,you,without,me,againi,lonely,your,slip,not,could,inside,again,spellwhy,fell,badyou,youwhy,can,once,stand,as
951,rock,hard,these,times,are,timesi,knows,gotta,everybody,make,they,through,rulesas,surest,mirroreverybody,chokehollywood,absurdand,doomand,timesand,herd,the,it,soon,stench,piled,rotten,bathroom,don,is,me
952,cuz,what,is,born,seems,guess,this,wrong,timenever,missionit,smoothe,belongcan,elijah,belongmy,satcha,feel,hugo,outlook,mittens,mort,messes,always,rasta,they,straight,assuming,time,not,don,marcus
954,scatter,voices,boys,listen,her,girls,wanna,the,be,up,pall,you,brawls,chops,conceived,causin,stalls,conceive,malls,sprawl,waterfalls,flop,bop,indeed,doll,receive,balls,crawling,sleeve,parents
956,recruit,dukes,hoops,daisy,looking,you,slide,girls,arechunky,yeah,drop,down,to,the,here,big,trying,old,got,naughty,with,boy,cha,am,them,her,bar,your,searching,wanna
957,lifeline,cold,me,throw,some,it,hope,show,wasted,so,no,somebody,if,god,end,tell,turncrushing,hellshow,lifelinethrow,lifelineall,doneif,meshow,have,air,there,is,redemption,life,tonight,say
958,jamming,sounds,braziiiil,uouooo,asdasda,shake,jimi,these,are,that,sing,please,thing,again,us,know,for,it,you,playingthere,playero,playerplaya,players,playersee,playful,playmakers,playlook,playfulness,playgrounds,playingrococo
959,town,live,five,cold,years,before,could,yes,this,homeand,well,odd,considered,in,chorus,stayedyou,placesuddenly,heresuddenly,leavethat,head,stinger,you,homeit,rises,ticking,temperature,spotlight,proper,that,feeling
960,the,my,man,hookup,and,to,it,michigan,like,so,glimpse,same,up,mo,tryna,damn,seemed,settle,me,they,ain,too,shit,treat,keanu,benihani,embezzlement,greensboro,riskay,that
964,killing,me,cos,slowlythere,slowlyyou,kiling,somehowoh,defenceless,but,slowlyi,you,somehowi,oh,tolerate,don,and,frustration,alli,celebration,abuse,fills,cheek,restless,should,ve,joke,pretending,mind,grown,someday
965,zooropa,overground,mud,particular,limit,the,be,reasons,voices,hiding,no,worry,baby,babyshe,durch,appliance,vorsprung,slimmerzooropa,technik,gotzooropa,overgroundno,cleanzooropa,slipstream,backand,squeaky,have,bluer,of,alright,gonna
966,believe,love,wouldn,boundaries,in,without,father,dictators,lovewithout,someonewithout,laterbut,churches,breeds,curled,borders,crumbles,and,breathes,costs,families,politics,no,has,cancer,sleeps,sooner,papers,disease,anger,lovei
967,nigga,whatchu,fuck,ho,gang,ain,you,cuffed,password,the,to,dog,want,he,niggas,2pac,trusted,like,youhoe,thug,we,dawg,bitch,roaches,stab,used,betrayed,got,loyal,wouldn
969,suck,gosuck,let,and,it,go,sucksuck,up,all,playground,playfulness,00,playgrounds,playersee,players,playerplaya,playero,playful,playhell,playin,playif,playerno,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook
970,remember,will,love,happened,forever,we,ours,forget,try,even,to,what,inside,boom,if,that,heart,be,rememberbreak,rememberthe,nows,tacks,forgetlove,foreverlove,irreplaceable,inseparable,know,and,you,move
971,hood,hangin,tonight,beautiful,it,the,doin,right,pump,night,good,feels,out,in,jeep,so,coolin,style,pumpin,feelin,way,feeling,gonna,cause,ladies,yeah,music,be,mercury,move
973,la,laaaaa,crocodile,suzie,rocking,rock,sightlaaaaa,shocking,dresses,the,chevy,laaaaalaaaaa,wore,rockwell,bopping,skimming,nights,friday,ownbut,and,lady,was,hopping,never,when,tight,mama,biggest,feet,stones
975,tell,no,come,me,and,on,ll,dig,prove,wrong,you,ontell,win,can,feet,go,sure,show,my,right,just,notell,motivates,nonow,every,doing,nono,in,criticize,onand
976,miss,promise,brat,you,onepick,muchhop,such,phone,won,anything,wanna,thati,talk,sucked,mindi,homei,slipped,why,plane,stuff,shirt,about,favorite,be,youi,back,pick,buy,sorry,was
978,you,though,my,once,to,lover,re,not,hold,friend,just,here,wrongeven,beeven,freeeven,even,have,would,againit,give,againyou,allowed,so,inside,again,happening,shadow,only,beside,heart
979,you,lose,turns,confess,if,inside,fear,crazy,what,had,care,die,bad,never,matter,keeping,rejection,shane,out,love,it,least,ve,baby,losing,can,league,okay,goodbye,doesn
980,breaking,throughthey,through,are,deception,they,re,losing,how,create,control,much,longer,coercive,wavelength,replaces,mind,lies,resonates,falling,deleted,allthe,notions,unnatural,we,evolve,creates,you,many,until
981,esperanzas,creo,no,es,digas,te,falsas,nto,cuã,que,engaã,amas,des,neneno,me,por,en,eso,tãº,soy,amor,tu,lo,mi,piensasno,condiciã³n,opina,equivocada,nofalsas,estuviera
984,boulders,over,you,fucked,pockets,fuck,shoulder,me,gave,cold,told,before,now,wish,my,re,too,like,we,pleasers,but,much,sailin,know,ain,lie,diva,the,salty,recipe
985,dirty,wellsplring,purify,water,helped,the,take,to,river,clean,spare,running,if,help,together,this,streamsearch,lastfight,streamand,looseand,everything,comeand,put,chance,get,keep,you,out,rod,suckers
986,you,still,innocent,an,string,is,32,tightrope,it,growin,bright,your,who,balance,easier,re,alright,lights,believed,to,are,tough,wait,bigger,crowd,not,lost,did,thenwasn,septembers
989,high,liftin,higher,plane,gotta,keep,on,yeah,remains,you,too,long,gettin,down,strong,same,nothing,been,never,ve,we,won,the,be,it,playersee,playful,00,playerplaya,playero
992,over,sometime,until,wait,it,you,orpheus,will,get,older,never,deal,now,eat,important,eurydice,alive,seems,big,when,discover,but,frozen,gonna,then,happen,figure,just,rememberhe,throughseems
993,fistful,happens,you,get,calls,police,happened,trouble,fall,mama,lonely,what,well,wanted,pistol,lost,tell,pistolwell,pistolyou,the,hurti,hind,britches,whistles,juke,jokin,keep,for,freight,thatyou
995,spotting,useless,corpses,couples,rotting,bodies,globe,the,cities,kissing,children,many,missing,so,world,sorrow,much,in,consider,traffic,all,please,playoffs,playgrounds,playhell,playground,playhonest,playif,playmakers,playin
997,withwhen,visions,meaning,almost,olderand,that,sad,crushes,reason,fine,day,the,cleaning,change,bad,way,want,x4,shoulders,before,not,it,ll,find,more,this,everyday,become,tell,will
998,bang,minute,ah,wait,you,let,it,ya,to,til,the,there,seat,anybody,nicki,back,want,your,take,blow,have,me,car,into,goes,ll,room,know,good,bad
999,me,trust,hold,love,know,why,towards,you,sky,hands,inhabitations,hear,and,region,we,don,solitary,views,the,unknown,there,plane,will,reach,yet,space,finally,meet,of,throw
1000,funk,kunta,the,walkin,legs,king,everybody,talkin,cut,you,yams,game,losses,run,was,whole,got,world,want,him,now,off,where,wanna,himwhen,bitch,when,yam,man,taking
1001,taking,shining,away,heaven,over,creating,light,every,sun,almost,we,leafed,love,radiating,you,clovers,beaming,throw,ma,ve,is,impatient,stand,found,aching,with,that,believe,soldiers,the
1003,th,tonight,wanna,gonna,fall,part,crimson,clover,you,mine,love,in,floor,feet,always,over,are,start,on,waste,rollen,justto,feel,rock,the,standing,davey,tonightare,was,good
1004,bye,drowning,misery,myself,river,going,down,sick,tired,baby,mercy,cry,oh,heart,where,to,well,lord,yes,this,please,my,in,go,got,of,why,so,loving,and
1006,tonight,live,up,it,we,onso,move,on,re,come,time,now,flysomehow,liewe,oncause,aliveso,eyesso,tired,realso,onwe,so,give,gave,bi,lost,gay,from,although,trapped,cos
1007,00,player,playeri,playerno,playero,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,played,playoff
1008,you,time,after,minor,choose,and,till,barely,hands,rose,it,will,win,how,take,biding,packages,the,trust,nearer,sends,comes,feels,bends,body,lose,your,clearer,desires,choosing
1009,want,you,do,with,to,be,me,stay,really,disappeardo,nice,whispers,todo,things,and,say,lay,those,hear,but,all,will,the,down,go,if,when,what,just,so
1010,hardest,you,do,that,swallow,pill,thinking,and,the,tomorrow,wish,rap,up,when,something,to,quits,could,really,what,even,but,sad,rule,know,motherfucker,being,if,woke,choose
1011,making,up,it,we,life,re,gently,all,alright,else,because,what,tonight,through,here,father,fatherthey,dreamkeep,upsome,hard,yeah,revolves,lieain,upwhat,beautiful,with,doing,and,only,pile
1012,feeds,she,soul,daily,morning,sun,always,beaming,my,watch,talks,evening,cuz,go,gothat,star,moon,every,knows,me,hates,coming,mine,to,wander,home,her,the,loves,lines
1013,exhilarate,intoxicate,stimulate,thrill,alone,tabs,alright,feel,sick,with,taking,trippin,else,everybody,secret,wrong,his,the,duels,shadowed,unfolds,betrayal,softer,wanna,mysterious,ooh,plot,marks,you,intentions
1014,snap,out,fancies,it,of,continue,patiently,shoulders,swing,fat,grab,lady,having,baby,shake,hypnotized,you,or,both,sing,late,spell,waiting,watch,feeling,darling,left,itforever,itunder,blind
1016,skies,blue,clouds,roll,the,storm,and,righ,by,beats,gonna,shadows,it,step,or,slow,for,into,comes,walk,be,righand,whereverlightering,skiesfor,cornersthere,eyestell,you,lightyeah,ibut,iwe
1017,yawk,the,nigga,compton,you,and,in,iv,loc,hood,city,where,that,with,street,up,of,they,on,thang,cocaine,yan,my,was,cul,pirus,down,fuck,rosecrans,sac
1018,hold,really,you,got,me,oh,on,want,yeah,now,love,to,don,baby,eahi,robinson,smokey,ah,strong,madly,william,miscellaneous,do,kiss,springfield,eah,need,badly,dusty,wrong
1019,00,player,playeri,playerno,playero,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,played,playoff
1020,florets,blows,wind,let,go,mewherever,beblowing,don,air,blowing,trees,anyone,the,meso,dance,anything,ever,of,wherever,care,dream,and,breathehold,goblowing,breathe,oh,responsibilities,just,about,or
1021,spring,flood,silence,meets,leads,size,where,with,going,know,repress,them,we,keep,ll,brink,the,crosses,it,teardrops,come,you,sounds,filled,what,fingers,hanging,is,less,on
1022,seeing,the,ll,chestnut,cafã,welli,carousel,gay,morning,lovely,be,wishing,park,children,small,in,tree,across,that,summer,tolling,embraces,way,you,moon,sunand,chimes,youin,cathedral,day
1023,lea,river,the,blame,roots,stain,veins,it,in,heal,my,riverbut,painso,reeds,use,blood,fingertips,to,heart,that,growing,every,on,leariver,leai,back,learn,lighten,and,go
1024,ayy,nasty,freaky,shawty,ass,nigga,gettin,lil,bitch,hit,lang,block,heard,mama,she,quick,woo,ma,bae,rackaids,and,grrrah,got,throw,fast,the,club,talk,you,rock
1025,dancing,dancenow,should,flowers,hours,you,all,my,to,party,too,when,chance,dumb,every,the,was,sounds,hand,realize,held,manalthough,hunts,bought,nameit,manmy,your,eyesit,cause,he
1026,untill,situation,you,where,belong,satisfiedpostcard,frompostcard,perfect,heaven,find,ever,best,from,never,quite,the,fromif,worldshould,goodbye,holding,allso,go,re,are,appreciate,know,regrets,to,sunshine,luck
1027,showdown,comes,crowds,around,booty,you,the,here,goes,waiting,oh,we,shake,are,up,uh,yeah,when,break,play,rise,teasewould,thishere,showdownwhat,yeahafter,beginsoh,my,ohnever,ohcause,make
1028,hustlin,everyday,ev,twenty,whip,hustle,mo,twos,em,yayo,distribution,hundred,them,two,real,atlantic,spinnin,fuckin,it,ain,flyin,cut,hard,killers,charge,round,me,because,cars,we
1030,00,player,playeri,playerno,playero,playerplaya,players,playersee,playful,playfulness,playground,playgrounds,playhell,playhonest,playif,playin,playing,playingpush,playingrococo,playingthere,playit,playlet,playlist,playlook,playmakers,playmate,playmates,playnow,played,playoff
1031,feeling,happening,got,right,the,alright,quitting,it,dayi,not,now,keeps,kisses,reason,gonna,type,missing,maybe,loving,but,butterfly,shit,save,for,like,work,another,life,moreoh,iim
1032,know,to,have,don,its,she,you,he,we,the,recognizebut,lilltle,paythen,oohhhhhhh,ohhhhhh,knowsomeone,goooooooooooo,knowohm,and,ooohhhh,publicly,stressful,ibut,oh,doing,dc,day,town,knowwhen,mehey
1033,york,new,yorkin,voices,the,irish,in,hot,got,you,place,lifeboatyou,unquenchable,yorkthe,newyorknew,childnew,alphavillenew,fanatics,yorknew,hairdryer,hispanics,stairwell,handbag,mace,iceberg,stew,jews,stillness,vices,asphalt
1034,peace,artist,whoa,we,here,what,warwhen,formerly,that,not,happier,of,war,the,be,and,re,prince,for,won,fair,didn,oh,curliness,transcend,peaceeverybody,jubileeeverybody,warin,known,ceases
1036,untrue,wants,want,you,truth,don,borrow,be,man,mountain,the,who,to,lady,youmisty,yousit,misty,gon,tonight,is,ended,but,aim,easily,company,won,ain,treat,right,youi
1037,watch,meets,samejust,tamed,me,again,the,bodies,insane,ocean,been,framework,insanefall,insanelike,gun,tiniest,youlike,just,rain,go,touch,youjust,used,same,ties,soldier,order,always,sheets,and
1043,de,dedodedo,deedeedeedoo,oh,you,ways,want,love,baby,turn,sure,girl,use,thrill,lot,got,sexy,help,many,say,enough,to,just,heeeeeeeeeeeeeeeeeeeeeeeeeey,ffffeeeeeewwwww,on,sing,need,that,me
1045,undecided,compromised,mantra,rut,honesty,confidence,doubt,will,application,lookin,of,part,quitting,feels,times,care,side,without,other,not,swallow,workin,these,pride,then,like,me,in,hurts,it
1047,blues,suffering,pills,more,away,red,no,two,sufferingblues,privileged,hear,way,smileand,ma,wanna,pain,awayand,you,goodbyes,take,the,don,enjoy,got,were,our,to,said,held,ways
1049,oxy,oxycontin,look,at,my,she,macha,clip,freebands,bitch,wrist,pocket,cotton,bit,medicine,got,yeah,the,it,pop,hatchatashi,oxymoron,contin,candie,galapagos,camoflaugin,lookin,vamonos,juugin,comatose
1050,know,all,yeah,fucked,this,bitch,boogie,is,done,you,trigger,cash,the,conceited,overflow,pour,titties,just,spill,bitches,that,gon,reasons,up,hit,ay,beside,like,woah,me
