,Hollywood_0_OK
Hollywood_0_OK,0.9999999999999998
ja_0_OK,0.9998532809267623
Angel_0_OK,0.9998033327286081
wf_0_OK,0.9997814369126372
SF_0_OK,0.999759475288927
