id,name,audio_vector,lyrics_vector
5WLSak7DN3LY1K71oWYuoN,I'll Be Good,"[ 5.16889691e-01  1.79560912e+00  2.49222800e-01  1.15011740e+00
  2.43265957e-01  1.90146163e-01  3.15075189e-01  4.00175840e-01
  9.94559884e-01  8.39420736e-01  2.02482164e-01  5.51507294e-01
  3.38654280e-01  1.23980927e+00  1.41498041e+00  3.96344811e-01
 -3.64031935e+00  1.51820183e+01 -1.29787111e+00  7.17473364e+00
  2.52270699e+00 -7.72268414e-01 -1.57502377e+00 -1.50942934e+00
  6.87640667e+00  5.35005283e+00 -7.21617162e-01  4.46928072e+00
 -2.07772756e+00 -8.16187000e+00  1.08428659e+01  1.57593977e+00
 -4.66819400e-03  5.95746285e-03 -3.78127237e-03  5.07683683e-03
  2.90138013e-03  4.07612095e-04  7.37267745e-05 -3.16061793e-03
  4.12874599e-03  1.05767372e-03  1.84813505e-03  4.96158029e-03
 -3.61537277e-03 -4.30243800e-03  4.91456700e-03 -1.23503868e-03]",
2W2eaLVKv9NObcLXlYRZZo,Spit It Out,"[ 1.47106856e-01  4.47845042e-01  2.01504171e-01  2.98284203e-01
  1.29647180e-01  1.08808435e-01  2.42500305e-01  2.94517696e-01
  2.46385694e-01  2.55475312e-01  1.21482365e-01  2.23065808e-01
  2.58791000e-01  3.19022745e-01  3.92234623e-01  1.59457386e-01
 -4.16221428e+00  1.72828007e+01 -1.52984500e+00  8.48194408e+00
  2.67712164e+00 -7.20016837e-01 -1.11174452e+00 -2.37352657e+00
  8.00941086e+00  6.57425022e+00 -9.14413452e-01  4.49323893e+00
 -1.88328874e+00 -9.77096748e+00  1.23007650e+01  2.11959767e+00
 -1.64903586e-03  4.31044081e-03 -1.75405491e-03  6.52122803e-03
  1.12616710e-03  1.44598773e-03  6.41300255e-04 -3.81625743e-03
 -2.24172560e-03  4.14571192e-04  2.35900028e-04  2.23170081e-03
  3.73633321e-03 -6.95095307e-03  4.97550435e-03  2.10153343e-03]",
6G7URf5rGe6MvNoiTtNEP7,The Downfall of Us All,"[ 1.86826095e-01  4.58290428e-01  1.57387272e-01  2.66849548e-01
  1.59033641e-01  9.76763219e-02  1.66382223e-01  2.45084122e-01
  2.34686524e-01  1.91613957e-01  1.08081676e-01  2.27558807e-01
  2.55207837e-01  2.93467581e-01  3.30042064e-01  1.30320802e-01
 -4.13022327e+00  1.73658943e+01 -1.60534823e+00  8.60413361e+00
  2.60261583e+00 -8.19497168e-01 -1.14076698e+00 -2.54241633e+00
  7.91198206e+00  6.56040001e+00 -8.20132196e-01  4.45737410e+00
 -1.80608857e+00 -9.81255722e+00  1.24094429e+01  2.07653022e+00
 -8.97645950e-05  2.19676433e-03  9.57536392e-04  1.48141894e-03
  2.01707951e-03 -9.35495664e-04 -1.09628098e-04 -4.33264380e-04
  1.90961259e-03  1.72874866e-04 -4.36489017e-04  2.24781648e-03
 -1.14997763e-03  1.82371873e-04  3.38190437e-03 -2.60574186e-03]",
5E5MqaS6eOsbaJibl3YeMZ,Homesick,"[ 4.39410239e-01  1.77541709e+00  2.54840225e-01  1.18843770e+00
  2.99398482e-01  1.71302721e-01  3.24238777e-01  6.94044828e-01
  1.04217100e+00  9.47826624e-01  1.98785499e-01  4.26887989e-01
  2.73331910e-01  1.27768230e+00  1.37062919e+00  4.55926150e-01
 -3.51684284e+00  1.47764158e+01 -1.25248826e+00  7.12972641e+00
  2.32048559e+00 -5.42892754e-01 -1.64599872e+00 -1.33630621e+00
  6.63316679e+00  5.34090090e+00 -7.94572532e-01  4.35107136e+00
 -2.02034879e+00 -7.89757156e+00  1.07257423e+01  1.39592886e+00
 -2.09042863e-03  3.39908885e-03 -1.19264628e-04  2.30762286e-03
  7.53652846e-04 -3.32022476e-03 -3.86380073e-04 -1.33598904e-04
  6.37523079e-03  1.26577748e-03 -2.23323696e-03  7.54191835e-04
 -4.26050562e-04 -1.74650473e-03  4.17980679e-03  2.88437530e-03]",
4RL77hMWUq35NYnPLXBpih,Skinny Love,"[ 4.25301999e-01  1.79313517e+00  2.24789992e-01  1.26439524e+00
  3.06248993e-01  2.17234805e-01  3.31018478e-01  5.95368087e-01
  1.03978920e+00  9.35702264e-01  1.57680288e-01  5.04317760e-01
  3.02506804e-01  1.24908912e+00  1.34500515e+00  4.12089258e-01
 -3.38378835e+00  1.47314596e+01 -1.32850742e+00  7.18123770e+00
  2.36912131e+00 -7.01355040e-01 -1.68456495e+00 -1.30044508e+00
  6.63462639e+00  5.38596201e+00 -7.13590324e-01  4.57411146e+00
 -1.98287106e+00 -7.88435745e+00  1.06259251e+01  1.43495154e+00
  7.83483697e-04  5.83176124e-03  1.61646332e-03  2.44524591e-03
  1.52002874e-03 -1.27167984e-03  1.90997054e-03 -1.83372356e-03
  1.58816423e-03  4.37669418e-03 -8.69524466e-04  2.41682927e-03
  1.51348916e-03 -3.87533506e-03  2.39863151e-03  1.89943319e-03]",
6rUp7v3l8yC4TKxAAR5Bmx,I Hate Everything About You,"[ 1.64008915e-01  4.68648076e-01  1.39644876e-01  2.81613499e-01
  1.32435128e-01  1.65913910e-01  2.35178679e-01  3.57142866e-01
  2.57495254e-01  3.01950008e-01  1.05938882e-01  1.75732315e-01
  2.11953714e-01  3.63439739e-01  4.20532107e-01  1.85125589e-01
 -4.08060408e+00  1.69545517e+01 -1.46182799e+00  8.34901047e+00
  2.66842055e+00 -7.76891232e-01 -1.44203520e+00 -1.97597921e+00
  7.77287960e+00  6.23321342e+00 -7.39945889e-01  4.61072302e+00
 -2.00199056e+00 -9.44124126e+00  1.20647078e+01  1.86212814e+00
  9.64622722e-04 -2.23526588e-04  3.38466122e-04  5.18636826e-04
 -1.32721612e-03  2.68900318e-03 -1.69672136e-03 -2.42383371e-03
  3.54605862e-04 -1.87293077e-03 -7.03591439e-05 -3.31304522e-04
 -7.98672820e-04 -8.92408893e-05  1.60416375e-03  2.24138682e-03]",
7uRznL3LcuazKpwCTpDltz,Mr. Know It All,"[ 2.38521338e-01  6.93320692e-01  2.58559883e-01  4.43249553e-01
  1.85891777e-01  1.18782781e-01  2.62107015e-01  3.27337354e-01
  3.84166241e-01  3.66981119e-01  1.45251229e-01  3.03681701e-01
  2.73155481e-01  4.82902855e-01  5.59216857e-01  2.45881930e-01
 -4.12354279e+00  1.66930618e+01 -1.34379005e+00  8.23634529e+00
  2.57898664e+00 -7.39067733e-01 -1.19249737e+00 -2.27778721e+00
  7.67092705e+00  6.24379206e+00 -7.83347487e-01  4.37798405e+00
 -2.01034474e+00 -9.36152554e+00  1.19780750e+01  1.99826574e+00
  9.50655367e-04  8.24280274e-04  1.27898959e-03  4.82209727e-04
  2.84548855e-03 -3.70241905e-03  1.75335940e-03 -1.30747144e-03
  4.15113237e-05 -4.71551194e-04 -8.60271004e-04  4.84331041e-04
  1.03778972e-03  2.17329335e-03  7.40401765e-04  3.10553801e-03]",
1UMJ5XcJPmH6ZbIRsCLY5F,Old Flame,"[ 4.57583457e-01  1.57321548e+00  2.48475015e-01  1.05189264e+00
  2.33810544e-01  1.59987524e-01  3.68234366e-01  6.46182358e-01
  8.62015069e-01  8.58414948e-01  1.84819907e-01  4.24569905e-01
  3.70887607e-01  1.13893878e+00  1.24897206e+00  3.89322966e-01
 -3.63068795e+00  1.50036249e+01 -1.29548120e+00  7.09208775e+00
  2.30276203e+00 -6.78260803e-01 -1.38341486e+00 -1.72811842e+00
  6.75757360e+00  5.47430706e+00 -8.29563320e-01  4.32487440e+00
 -1.79898679e+00 -8.14034748e+00  1.08501930e+01  1.47928011e+00
  4.32263582e-05  2.84219603e-03 -3.56534556e-03  2.45603129e-03
  2.32892286e-03 -2.35002800e-03 -1.01794700e-03 -1.56769602e-03
  1.83539513e-03  1.18589401e-03  1.88936159e-03  1.60396659e-03
  2.26526434e-04 -1.63709914e-03  4.75280917e-03  1.45589159e-03]",
5b88tNINg4Q4nrRbrCXUmg,Happy,"[ 2.37212300e-01  7.33999789e-01  2.21960112e-01  4.66451675e-01
  1.89586625e-01  1.10036559e-01  2.56557703e-01  4.33687180e-01
  4.31978375e-01  4.67237264e-01  1.51636645e-01  2.73814708e-01
  3.20870638e-01  5.38859606e-01  6.54236317e-01  1.79717898e-01
 -4.25164175e+00  1.68911972e+01 -1.52878857e+00  8.29836178e+00
  2.53928113e+00 -6.17338955e-01 -1.35868514e+00 -2.27847743e+00
  7.66922712e+00  6.38450718e+00 -7.96440780e-01  4.56426239e+00
 -2.02762604e+00 -9.44691658e+00  1.23078785e+01  1.82251501e+00
 -3.48945459e-04 -1.93675359e-04  1.68702490e-03 -2.39132816e-03
 -3.62366693e-04  2.29757470e-04  9.30128571e-04  9.25004992e-04
 -1.73951622e-03 -2.10524930e-03 -1.08900456e-03  3.84053613e-04
 -2.82360397e-03 -1.17842866e-03  1.33776665e-03 -1.02026187e-03]",
52UWtKlYjZO3dHoRlWuz9S,Thunderstruck,"[ 1.68167219e-01  4.32384193e-01  1.61265805e-01  3.16538393e-01
  1.40735477e-01  1.41709656e-01  1.89604104e-01  3.21542114e-01
  2.65417397e-01  2.80570090e-01  1.23755470e-01  1.59746528e-01
  2.18958318e-01  3.23847651e-01  3.35354567e-01  1.66304633e-01
 -4.10169744e+00  1.71790504e+01 -1.53359270e+00  8.68218136e+00
  2.54811883e+00 -8.65426183e-01 -1.28874671e+00 -2.27737713e+00
  7.67198849e+00  6.53817177e+00 -7.11706579e-01  4.33249712e+00
 -1.69722116e+00 -9.72907066e+00  1.21561642e+01  2.29509783e+00
  2.67118114e-03 -8.17587844e-03  2.38347181e-03 -2.62181881e-03
  7.77522723e-04  2.33187214e-03 -4.27698350e-04  1.90666343e-03
 -5.25037142e-03 -1.58611118e-03  9.08521824e-04 -1.73426795e-03
  1.76105693e-03  7.08291266e-03 -4.77904540e-03  2.05521222e-03]",
