song,singer,tempo,energy,loudness,danceability,valence,acousticness,happy,angry,sad,relax,mood
Afire Love,Ed Sheeran,97.97,0.637,-6.568,0.552,0.333,0.464,16.66666667,30.83333333,10,42.5,3
English Rose,Ed Sheeran,114.593,0.649,-6.522,0.579,0.184,0.0977,0,29.5,28,42.5,3
New York,Ed Sheeran,86.014,0.461,-8.726,0.728,0.474,0.707,57.5,15,0,27.5,0
Friends,Ed Sheeran,93.255,0.158,-14.433,0.516,0.455,0.783,30,20,30,20,0
One,Ed Sheeran,104.511,0.307,-6.224,0.792,0.631,0.189,10,12,33,45,3
Make It Rain,Ed Sheeran,96.846,0.239,-8.371,0.618,0.327,0.791,16,20,16,48,3
Wake Me Up,Ed Sheeran,86.891,0.209,-13.43,0.616,0.336,0.902,36,20,26,18,0
Runaway,Ed Sheeran,95.03,0.449,-7.158,0.767,0.908,0.024,12.5,32,23,32.5,3
Take It Back,Ed Sheeran,113.196,0.613,-6.342,0.754,0.904,0.318,27.5,22,18,32.5,3
The Man,Ed Sheeran,87.467,0.725,-7.006,0.759,0.619,0.576,30.83333333,10,23.33333333,35.83333333,3
Even My Dad Does Sometimes,Ed Sheeran,129.757,0.318,-8.926,0.58,0.295,0.756,36,20,0,44,3
Shirtsleeves,Ed Sheeran,107.034,0.76,-5.34,0.752,0.752,0.319,15,32,28,25,1
Let It Out,Ed Sheeran,96.973,0.603,-7.656,0.731,0.619,0.645,45,0,35,20,0
Grade 8,Ed Sheeran,101.042,0.807,-9.976,0.74,0.781,0.0446,40,12,38,10,0
The City,Ed Sheeran,97.994,0.505,-10.338,0.74,0.646,0.0415,22.5,22,18,37.5,3
One Night,Ed Sheeran,94.989,0.836,-5.496,0.781,0.636,0.379,15,22,38,25,2
Firefly,Ed Sheeran,159.917,0.31,-11.469,0.602,0.36,0.886,36,30,0,34,0
Homeless,Ed Sheeran,90.001,0.636,-7.129,0.754,0.875,0.519,40.83333333,0,23.33333333,35.83333333,0
Cold Coffee,Ed Sheeran,92.936,0.529,-6.753,0.544,0.403,0.453,0,29.5,38,32.5,2
Where We Land,Ed Sheeran,119.944,0.248,-11.592,0.68,0.275,0.838,53.5,30,6,10.5,0
Sunburn,Ed Sheeran,78.864,0.098,-12.119,0.464,0.234,0.865,16.66666667,10,40,33.33333333,2
Be Like You,Ed Sheeran,105.869,0.388,-6.516,0.671,0.59,0.715,23.5,40,10,26.5,1
Sofa,Ed Sheeran,100.05,0.65,-6.491,0.646,0.52,0.14,11.66666667,29.5,36.33333333,22.5,2
Kiss Me,Ed Sheeran,74.993,0.227,-16.67,0.589,0.182,0.64,56,0,17.5,26.5,0
She,Ed Sheeran,157.783,0.344,-10.91,0.573,0.377,0.811,46,30,0,24,0
Fire Alarms,Ed Sheeran,102.009,0.286,-9.886,0.602,0.379,0.772,26,30,0,44,3
Fall,Ed Sheeran,82.552,0.283,-9.827,0.559,0.188,0.632,56,17.5,0,26.5,0
So,Ed Sheeran,140.077,0.133,-10.599,0.521,0.391,0.853,30,30,20,20,0
This,Ed Sheeran,152.139,0.0929,-14.301,0.588,0.502,0.95,56,10,0,34,0
Blank Space,Taylor Swift,96.033,0.708,-5.462,0.752,0.546,0.0824,10,42,33,15,1
Shake It Off,Taylor Swift,160.061,0.795,-5.337,0.649,0.915,0.059,0,42,48,10,2
Bad Blood,Taylor Swift,170.141,0.796,-6.078,0.65,0.295,0.0978,5,22,53,20,2
Delicate,Taylor Swift,95.045,0.404,-10.178,0.75,0.0499,0.216,22.5,19.5,18,40,3
Style,Taylor Swift,95.032,0.801,-5.522,0.592,0.502,0.00264,0,32,48,20,2
Look What You Made Me Do,Taylor Swift,128.07,0.709,-6.471,0.766,0.506,0.204,22.5,22,23,32.5,3
Wildest Dreams,Taylor Swift,140.035,0.689,-7.344,0.559,0.468,0.0704,0,39.5,28,32.5,1
Love Story,Taylor Swift,118.984,0.741,-3.97,0.617,0.306,0.131,10,49.5,38,2.5,1
You Belong With Me,Taylor Swift,129.966,0.745,-4.432,0.687,0.435,0.178,0,49.5,38,12.5,1
Welcome To New York,Taylor Swift,117.012,0.635,-4.709,0.79,0.65,0.0326,20,32,43,5,2
Back To December,Taylor Swift,141.649,0.45,-6.384,0.535,0.364,0.733,22.5,20,34,23.5,2
I Knew You Were Trouble.,Taylor Swift,77.019,0.469,-6.798,0.622,0.679,0.00454,7.5,39.5,33,20,1
I Did Something Bad.,Taylor Swift,82.989,0.602,-6.156,0.696,0.305,0.0679,0,39.5,38,22.5,1
22,Taylor Swift,103.987,0.729,-6.561,0.661,0.668,0.00215,5,29.5,43,22.5,2
Begin Again,Taylor Swift,79.025,0.526,-8.349,0.53,0.323,0.199,0,27.5,23.33333333,49.16666667,3
Getaway Car,Taylor Swift,172.054,0.689,-6.745,0.562,0.351,0.00465,0,29.5,48,22.5,2
End Game,Taylor Swift,159.073,0.589,-6.237,0.649,0.151,0.00845,11.66666667,29.5,36.33333333,22.5,2
Everything Has Changed,Taylor Swift,80.016,0.458,-6.755,0.624,0.436,0.36,12.5,29.5,38,20,2
King Of My Heart,Taylor Swift,110.01,0.703,-7.902,0.675,0.314,0.00882,10,49.5,18,22.5,1
Gorgeous,Taylor Swift,92.027,0.535,-6.684,0.8,0.451,0.0713,20,42,23,15,1
Out Of The Woods,Taylor Swift,92,0.835,-6.918,0.553,0.339,0.000975,0,22,38,40,3
We Are Never Ever Getting Back Together,Taylor Swift,85.984,0.676,-5.911,0.628,0.75,0.00957,0,39.5,48,12.5,2
Dancing With Our Hands Tied,Taylor Swift,160.024,0.691,-6.686,0.624,0.284,0.0604,5,39.5,43,12.5,2
Style,Taylor Swift,95.032,0.801,-5.522,0.592,0.502,0.00264,0,32,48,20,2
All Too Well,Taylor Swift,93.06,0.609,-7.803,0.602,0.337,0.0382,10,29.5,8,52.5,3
