i,j,survey_track,rec_track,rating,similarity,rankvalue
14,20,00NAQYOP4AmWR549nnYJZu,6KZPeYlTO3LNniGQIBkuxf,2,0.7574539572830747,1.5149079145661495
15,1,00nKdBKPs0F7nJ0xzWbccg,02Bj0KWmT8OznkcfKyDSDc,1,0.8168367474863457,0.8168367474863457
15,2,00nKdBKPs0F7nJ0xzWbccg,5slYHr8Bwh2uLYAm9dJmiF,1,0.8153474868855077,0.8153474868855077
15,3,00nKdBKPs0F7nJ0xzWbccg,2gxqozTaq2NYylvS8jd57G,1,0.812116460621225,0.812116460621225
15,4,00nKdBKPs0F7nJ0xzWbccg,40WWDaK7arn7ilmufbHmdo,1,0.8117277024968842,0.8117277024968842
15,5,00nKdBKPs0F7nJ0xzWbccg,39IGBhszdamLErnDoOlovS,1,0.8106588732301965,0.8106588732301965
15,6,00nKdBKPs0F7nJ0xzWbccg,6uLumOytyfcMIab643YuHA,1,0.8105161645631254,0.8105161645631254
15,7,00nKdBKPs0F7nJ0xzWbccg,013TFRzJWkT41RRSgSenfI,1,0.8082398612303484,0.8082398612303484
15,8,00nKdBKPs0F7nJ0xzWbccg,7qK88XdPut8m3pKKuoyzHO,1,0.8081150195748423,0.8081150195748423
15,9,00nKdBKPs0F7nJ0xzWbccg,62mjMCP60NXYG86dMyVZY1,1,0.8077022207276656,0.8077022207276656
15,10,00nKdBKPs0F7nJ0xzWbccg,6e9hppTnLvAsHiTFRvPbOe,1,0.8068365441826097,0.8068365441826097
15,11,00nKdBKPs0F7nJ0xzWbccg,4G2sIwFtCuEB3AZLboFilf,1,0.8060178545445917,0.8060178545445917
15,12,00nKdBKPs0F7nJ0xzWbccg,22GUd9JOxhSidGguHxf3Nu,1,0.8055745652823658,0.8055745652823658
15,13,00nKdBKPs0F7nJ0xzWbccg,0mWOTzJrubMCI1sskQ3YoF,1,0.8053929070616817,0.8053929070616817
15,14,00nKdBKPs0F7nJ0xzWbccg,0BCPKOYdS2jbQ8iyB56Zns,1,0.8042468565509526,0.8042468565509526
15,15,00nKdBKPs0F7nJ0xzWbccg,4j6HmbhiDBycWoKqM8GjKg,1,0.8036368322384159,0.8036368322384159
15,16,00nKdBKPs0F7nJ0xzWbccg,6zR5rIivVSMFkgzIkVp8l9,1,0.8027705643943943,0.8027705643943943
15,17,00nKdBKPs0F7nJ0xzWbccg,5o0iUgoa6t7cHWIZfqnKNh,1,0.8006666261162494,0.8006666261162494
15,18,00nKdBKPs0F7nJ0xzWbccg,7lriEP4hVzkqlHXmKRTnhR,1,0.7994891028068722,0.7994891028068722
15,19,00nKdBKPs0F7nJ0xzWbccg,6N5ruusDFjQPYvCka8ejwP,1,0.7990611894886621,0.7990611894886621
15,20,00nKdBKPs0F7nJ0xzWbccg,7j9pMHopmhkEXiM3RIWH5W,1,0.7976821272447383,0.7976821272447383
16,1,00NtVG757yjm3hFVbuJX2Q,7HZOCMa0XEXNFklxUG5kKb,5,0.804784578509565,4.023922892547825
16,2,00NtVG757yjm3hFVbuJX2Q,72EOe9jvjhUFu3Dw5lhLiV,5,0.803534997682716,4.01767498841358
16,3,00NtVG757yjm3hFVbuJX2Q,6L62el1OUSq0LH3p3PVgXF,5,0.798354976691109,3.991774883455545
16,4,00NtVG757yjm3hFVbuJX2Q,2NkbRmygVirMQFCjSkyY7Q,5,0.7982010800839129,3.9910054004195645
16,5,00NtVG757yjm3hFVbuJX2Q,68trMAaEDPEUAijiOku96U,5,0.7946873555365338,3.973436777682669
16,6,00NtVG757yjm3hFVbuJX2Q,4UHnLWatT8yZosFSzkPyhx,5,0.7944184367632781,3.9720921838163905
16,7,00NtVG757yjm3hFVbuJX2Q,2EvhhRsXDZxQ54AAPVGbvs,5,0.7920404119864763,3.9602020599323815
16,8,00NtVG757yjm3hFVbuJX2Q,2Knlcf82LF6hp6Bf0gldtN,5,0.7918307782409648,3.9591538912048243
16,9,00NtVG757yjm3hFVbuJX2Q,6yuDA4JVS99KXSgjfniAnR,5,0.7907072824253298,3.953536412126649
16,10,00NtVG757yjm3hFVbuJX2Q,676ycd33DnU6I25RFpDR10,5,0.7906198945260898,3.9530994726304494
16,11,00NtVG757yjm3hFVbuJX2Q,6ztZlTKrU8Tnbs9ePd8K9D,5,0.7905758521810564,3.952879260905282
16,12,00NtVG757yjm3hFVbuJX2Q,5GyzufKhA3l89fhW9zB48t,5,0.7904654521068841,3.9523272605344206
16,13,00NtVG757yjm3hFVbuJX2Q,3NT5B1jrtT2Nawu0gTegYm,5,0.790148146558905,3.9507407327945248
16,14,00NtVG757yjm3hFVbuJX2Q,1J6XNmHmRCJUA19yZSv807,5,0.7897376687384534,3.9486883436922673
16,15,00NtVG757yjm3hFVbuJX2Q,4EhbLHYOXzEoPmOfaVoIIW,5,0.7891240801492014,3.945620400746007
16,16,00NtVG757yjm3hFVbuJX2Q,3tWtvJCxhMylnyfQ8IBwpf,5,0.7886607286971264,3.943303643485632
16,17,00NtVG757yjm3hFVbuJX2Q,5YLuXKsZ02FNK9MyaKi9Uw,5,0.788002440053,3.940012200265
16,18,00NtVG757yjm3hFVbuJX2Q,6hyiAdt7Tx56QHAkj2BNL4,5,0.7877771588854036,3.938885794427018
16,19,00NtVG757yjm3hFVbuJX2Q,2GEbT7c42a421zC8iYACRS,5,0.7874575544971998,3.937287772485999
16,20,00NtVG757yjm3hFVbuJX2Q,7rACKwx9OMTlScGUAcBsvP,5,0.7872145263163586,3.936072631581793
17,1,00RYw42tKwXecTaVay3BKl,5WkgUQlJkgwxX2Tx8fbMnj,2,0.8274164750193098,1.6548329500386196
17,2,00RYw42tKwXecTaVay3BKl,18WwAEJsCIh7P8TSsO4lqi,2,0.8248461165116527,1.6496922330233055
