Set Fire to the Rain,Adele,107.995,0.67,-3.882,0.603,0.445,0.00408,10.0,49.5,38.0,2.5,1
Skyfall,Adele,75.881,0.552,-6.864,0.346,0.0789,0.417,23.333333333333332,1.6666666666666667,36.666666666666664,38.33333333333333,3
Someone Like You,Adele,135.047,0.321,-8.251,0.554,0.288,0.893,30.0,20.0,10.0,40.0,3
Sweetest Devotion,Adele,155.941,0.751,-5.471,0.416,0.266,0.251,16.0,13.999999999999998,50.0,20.0,2
Take It All,Adele,138.079,0.266,-8.44,0.415,0.284,0.957,26.666666666666668,10.0,35.0,28.333333333333332,2
Turning Tables,Adele,155.542,0.446,-6.044,0.361,0.212,0.95,33.33333333333333,20.0,36.666666666666664,10.0,2
Water Under The Bridge,Adele,94.963,0.833,-6.503,0.59,0.537,0.0142,0.0,22.000000000000004,38.0,40.0,3
When We Were Young,Adele,144.464,0.595,-5.936,0.377,0.264,0.303,10.0,0.0,60.0,30.0,2
I Like The Way,Against The Current,120.014,0.804,-4.323,0.671,0.618,0.0333,0.0,42.00000000000001,48.0,10.0,2
Voices,Against The Current,105.02,0.851,-4.782,0.715,0.789,0.0036,5.0,32.0,48.0,15.0,2
Weak,AJR,123.98,0.637,-4.518,0.673,0.678,0.137,0.0,59.5,38.0,2.5,1
Faded,Alan Walker,179.642,0.627,-5.085,0.468,0.159,0.0281,10.0,20.0,30.0,40.0,3
Interlude,Alan Walker,130.253,0.0262,-14.617,0.467,0.218,0.917,16.666666666666664,0.0,40.0,43.33333333333333,3
Intro,Alan Walker,128.231,0.222,-11.073,0.399,0.0387,0.864,26.666666666666668,20.0,35.0,18.333333333333332,2
Tired,Alan Walker,123.994,0.876,-4.159,0.69,0.493,0.0428,5.0,32.0,48.0,15.0,2
1994,Alec Benjamin,87.022,0.613,-6.185,0.772,0.862,0.281,12.5,22.000000000000004,32.99999999999999,32.5,2
Death Of A Hero,Alec Benjamin,179.8,0.62,-5.797,0.653,0.584,0.634,33.33333333333333,17.5,36.666666666666664,12.5,2
If I Killed Someone For You,Alec Benjamin,120.894,0.605,-5.363,0.514,0.409,0.774,38.33333333333333,20.0,21.666666666666664,20.0,0
If We Have Each Other,Alec Benjamin,173.094,0.577,-5.566,0.656,0.861,0.698,28.333333333333332,36.666666666666664,25.0,10.0,1
Let Me Down Slowly,Alec Benjamin,150.073,0.557,-5.714,0.652,0.483,0.74,28.333333333333332,36.666666666666664,25.0,10.0,1
Trust My Lonely,Alessia Cara,150.305,0.662,-6.025,0.583,0.636,0.00541,0.0,29.500000000000004,48.0,22.5,2
Raise A Man,Alicia Keys,169.658,0.482,-5.574,0.244,0.41,0.831,31.666666666666664,27.999999999999996,23.333333333333332,17.0,0
Hear Me Now,Alok,121.999,0.463,-7.603,0.778,0.496,0.546,5.833333333333333,10.0,20.0,64.16666666666666,3
Sabali,Amadou & Mariam,124.012,0.639,-6.546,0.596,0.233,0.783,10.0,30.0,24.0,36.0,3
Bottom Of the Barrel,Amos Lee,178.13,0.346,-12.689,0.611,0.539,0.784,36.0,20.0,16.0,27.999999999999996,0
Army of Me,Anastacia,124.975,0.748,-6.668,0.601,0.272,0.141,10.0,29.500000000000004,27.999999999999996,32.5,3
Caught In The Middle,Anastacia,184.095,0.797,-4.994,0.457,0.452,0.0684,0.0,20.0,40.0,40.0,2
Left Outside Alone,Anastacia,102.847,0.746,-3.567,0.663,0.325,0.0697,10.0,59.5,27.999999999999996,2.5,1
Love Is a Crime,Anastacia,204.02,0.808,-5.482,0.557,0.938,0.123,0.0,42.00000000000001,48.0,10.0,2
Paid My Dues,Anastacia,97.035,0.729,-3.289,0.702,0.757,0.11,0.0,59.5,38.0,2.5,1
Pain,Anastacia,93.738,0.655,-6.541,0.472,0.16,0.191,0.0,0.0,30.0,70.0,3
Redlight,Anastacia,95.032,0.835,-3.952,0.681,0.521,0.0905,0.0,42.00000000000001,48.0,10.0,2
Sick and Tired,Anastacia,99.848,0.868,-4.552,0.598,0.47,0.00908,5.0,32.0,48.0,15.0,2
Staring at the Sun,Anastacia,111.008,0.706,-5.568,0.591,0.151,0.0223,0.0,49.5,48.0,2.5,1
Paperthin Hymn,Anberlin,180.434,0.597,-12.107,0.298,0.536,0.00111,20.0,0.0,20.0,60.0,3
We Exist,Arcade Fire,116.392,0.506,-8.742,0.567,0.358,0.00731,12.5,29.500000000000004,27.999999999999996,30.0,3
Fake Tales Of San Francisco,Arctic Monkeys,127.158,0.778,-4.225,0.454,0.704,0.00998,0.0,20.0,40.0,40.0,2
7 rings,Ariana Grande,140.048,0.317,-10.732,0.778,0.327,0.592,33.33333333333333,30.0,10.0,26.666666666666668,0
Almost Is Never Enough,Ariana Grande,81.329,0.327,-7.494,0.323,0.335,0.824,31.666666666666664,10.0,25.0,33.33333333333333,3
Baby I,Ariana Grande,101.976,0.796,-3.684,0.725,0.517,0.0154,10.0,52.0,38.0,0.0,1
Bad Decisions,Ariana Grande,131.945,0.646,-5.368,0.698,0.787,0.0146,0.0,59.5,38.0,2.5,1
bad idea,Ariana Grande,137.998,0.579,-5.314,0.847,0.569,0.0268,0.0,62.0,18.0,20.0,1
Be My Baby,Ariana Grande,145.08,0.586,-6.241,0.622,0.434,0.0735,5.0,29.500000000000004,32.99999999999999,32.5,2
Beauty and the Beast,Ariana Grande,81.4,0.54,-7.046,0.489,0.27,0.126,0.0,10.0,30.0,60.0,3
Better Left Unsaid,Ariana Grande,130.059,0.831,-4.024,0.585,0.28,0.0391,0.0,42.00000000000001,48.0,10.0,2
better off,Ariana Grande,92.568,0.524,-7.247,0.597,0.0549,0.216,0.0,29.500000000000004,31.333333333333336,39.166666666666664,3
bloodline,Ariana Grande,151.976,0.665,-5.188,0.758,0.643,0.0815,10.0,42.00000000000001,32.99999999999999,15.0,1
Break Free,Ariana Grande,129.956,0.702,-5.324,0.687,0.284,0.0064,0.0,59.5,38.0,2.5,1
Break Your Heart Right Back,Ariana Grande,93.93,0.605,-5.673,0.726,0.588,0.0113,20.0,32.0,27.999999999999996,20.0,1
breathin,Ariana Grande,100.049,0.656,-5.413,0.568,0.364,0.0211,10.0,49.5,38.0,2.5,1
Dangerous Woman,Ariana Grande,133.969,0.602,-5.369,0.662,0.29,0.0529,10.0,49.5,38.0,2.5,1
everytime,Ariana Grande,148.152,0.614,-6.757,0.71,0.658,0.186,10.0,39.5,27.999999999999996,22.5,1
fake smile,Ariana Grande,83.3,0.619,-7.412,0.45,0.427,0.329,16.666666666666664,10.0,20.0,53.333333333333336,3
Focus,Ariana Grande,99.955,0.879,-6.006,0.681,0.818,0.266,5.0,17.0,57.99999999999999,20.0,2
