lyrics,singer,title,url
"Growing distance
Free of explanations
We're getting deeper in this mess
Take careful contemplations
I'd rather be spitting blood
Than have this silence fuck me upThis separation
Time and space between us
For some revelation
You didn't even care to discuss
I'd rather be black and blue
Than accept that you withdrewAaah, just tell me
Say anything
Anything hurts less than the quiet
Just tell me
Say anything
Anything hurts less than the quietUsed to give each other the world
Every bit
I used to be the one you'd come to
When it'd all go to shit
Now I'm left here in the dust
With the taste of broken trustAnd I don't wanna walk away
But you left me no choice
Only talking to myself here
Now you muffled your voice
I'd rather have broken bones
And feel myself turn to stoneAaah, just tell me
Say anything
Anything hurts less than the quiet
Just tell me
Say anything
Anything hurts less than the quietI don't mind that I know that you're wrong
I don't mind that you think you're right
All I want is a fight to find
Anything but quietJust tell me
Say anything
Anything hurts less than the quiet",troye sivan,The Quiet,http://www.metrolyrics.com/the-quiet-lyrics-troye-sivan.html
"I woke up pissed off today
And lately everyone feels fake
Somewhere I lost a piece of me
Smoking cigarettes on balconiesBut I can't do this alone
Sometimes I just need a light
If I call you on the phone
Need you on the other sideSo when your tears roll down your pillow like a river
I'll be there for you
I'll be there for you
When you're screaming, but they only hear you whisper
I'll be loud for you
But you gotta be there for me tooBut you gotta be there for me tooLast year took a toll on me
But I made it with you next to me
Around the world and back again
I hope you're waiting at the endBut I can't do this alone
Sometimes I just need a light
If I call you on the phone
Need you on the other sideSo when your tears roll down your pillow like a river
I'll be there for you
I'll be there for you
When you're screaming, but they only hear you whisper
I'll be loud for you
I'll be loud for youI got you, I promise
Let me be honest
Love is a road that goes both ways
When your tears roll down your pillow like a river
I'll be there for you
But you gotta be there for me tooBut you gotta be there for me tooBoy, I'm holding on to something
Won't let go of you for nothing
I'm running, running, just to keep my hands on you
There was a time that I was so blue
What I got to do to show you
I'm running, running, just to keep my hands on you
Running, running, just to keep my hands on you
Running, running, just to keep my hands on you
So I'm running, running, just to keep my hands on you
But you gotta be there for me tooBut you gotta be there for me too",troye sivan,There For You,http://www.metrolyrics.com/there-for-you-lyrics-troye-sivan.html
,troye sivan,Last Night,http://www.metrolyrics.com/last-night-lyrics-troye-sivan.html
"I'm down to my skin and bone
And my mommy, she can't put down the phone
And stop asking how I'm doing all alone, aloneBut the truth is the stars are falling, ma
And the wolves are out c-calling, ma
And my home has never felt this farBut all this driving
Is driving me crazy
And all this moving
Is proving to get the best of meAnd I've been trying to hide it
But lately
Every time I think I'm better
Pickin' my head up, getting nowhereTake me back to the basics and the simple life
Tell me all of the things that make you feel at ease
Your touch, my comfort, and my lullaby
Holdin' on tight and sleepin' at night
Holdin' on tight and sleepin' at nightNow I'm down to my skin and bones
My baby listens to me on the phone
But I can't help feeling like I'm all alone, all aloneThe truth is, the stars are falling, babe
And I'd never ever thought that I would say
I'm afraid of the life that I've made, I've madeBut all this driving
Is driving me crazy
And all this moving
Is proving to get the best of meAnd I've been trying to hide it
But lately
Every time I think I'm better
Pickin' my head up, getting nowhereTake me back to the basics and the simple life
Tell me all of the things that make you feel at ease
Your touch, my comfort, and my lullaby
Holdin' on tight and sleepin' at nightI've been lyin' to them all
I don't need it anymore
Don't you worry about me
I'll be fine if I can breatheI've been hidin' for too long
Taking shit for how I'm wrong
How I'm wrong
Always wrongTake me back to the basics and the simple life
Tell me all of the things that make you feel at ease
Your touch, my comfort, and my lullaby
Holdin' on tight and sleepin' at night
Holdin' on tight and sleepin' at nightHoldin' on tight and sleepin' at night
Holdin' on tight and sleepin' at night (Take me back to the basics and the simple life)
Holdin' on tight and sleepin' at night (Tell me all of the things that make you feel at ease)
Holdin' on tight and sleepin' at night (Your touch, my comfort, and my lullaby)
Holdin' on tight and sleepin' at night",troye sivan,Ease,http://www.metrolyrics.com/ease-lyrics-troye-sivan.html
"Scared my love, you'll go
Spend my love, heart broke
So my love, don't show
Scared my love, you'll goToo good to be good for me
Too bad that that's all I need
Too good to be good for me
Too bad that that's all I need, all I needFingers walk your thigh
Breathe my love, get high
And oh, I'm so scared, oh, I'm so scared
It's just for tonightSo I take a sip, wait till it hits
That liquid guilt is on my lips
I'm wasted on youToo good to be good for me
Too bad that that's all I need
Too good to be good for me
Too bad that that's all I needToo good to be good for me
Too bad that that's all I need
Too good to be good for me
Too bad that that's all I need, all I needSo I take a sip, wait 'til it hits
That liquid guilt is on my lips
I'm wasted on you, wasted on youToo good to be good for me (Too good, too good)
Too bad that that's all I need (Too good, too good)
Too good to be good for me (For me, for me)
Too bad that that's all I need, all I need",troye sivan,Too Good,http://www.metrolyrics.com/too-good-lyrics-troye-sivan.html
,troye sivan,Seventeen,http://www.metrolyrics.com/seventeen-lyrics-troye-sivan.html
"We said goodbye
That's what you told me once
So many times we've made our peace
But this is love, I'll never give you up
But now your love has come home to meLike a river, always running
I keep losing you
Like a fire, always burning
I'll be here for youIf you're ready, I'll deserve you
I'll be waiting, come find me
If you're certain for forever
I'll be waiting, come find me
I see you, you're in the darkness
Finding life right where your heart is
If you're ready, I'll deserve you
I'll be waiting, come find meCome find me
Come find me
I see you, you're in the darkness
Finding life right where your heart is
If you're ready, I'll deserve you
I'll be waiting, come find meIf your star waits
That's what you told me once
But tears they come and go
This is us, I'll never get enough
It's taking losing you to knowIf you're ready, I'll deserve you
I'll be waiting, come find me
If you're certain for forever
I'll be waiting, come find me
I see you, you're in the darkness
Finding life right where your heart is
If you're ready (if you're ready)
I'll deserve you (I'll deserve you)
I'll be waiting, come find meCome find me
Come find meI want to meet but never leave now
I want to meet but never leave nowI see you, you're in the darkness
Finding life right where your heart is
If you're ready, I'll deserve you
I'll be waiting, come find meCome find me
If you're ready, I'll deserve you
I'll be waiting, come find meIf you're ready, I'll deserve you
I'll be waiting, come find me",birdy,Find Me (Radio Edit),http://www.metrolyrics.com/find-me-radio-edit-lyrics-sigma.html
"[Verse 1: Lauv]
Could you believe? I could be different
I'll be the difference, I'll lift you high
And I understand your hesitation
My reputation, it's no surprise[Pre-Chorus: Lauv]
So let me redefine you
And you can see the tide move
Just like tears in the eyes do
And when you're feeling alone
Oh, baby, I'll be right here
Between the sea and silence
So breathe easy my dear
You can find sunshine in the rain[Chorus: Lauv]
I will come running when you call my name
Even a broken heart can beat again
Forget about the one who caused you pain
I swear I'll love you in a different way[Drop][Verse 2: Lauv]
I know that love is so unforgiving
You've been a victim too many times
And I'll be the thread, hold you together
I'll be forever, will you be mine?[Pre-Chorus: Lauv]
So let me redefine you
And you can see the tide move
Just like tears in the eyes do
And when you're feeling alone
Oh, baby, I'll be right here
Between the sea and silence
So breathe easy my dear
You can find sunshine in the rain[Chorus: Lauv]
I will come running when you call my name
Even a broken heart can beat again
Forget about the one who caused you pain
I swear I'll love you in a different way[Post-Chorus: Lauv]
Hey, hey, hey
I swear I'll love you in a different way
Hey, hey, hey
I swear I'll love you in a different way[Drop]",lauv,A Different Way (Noizu Remix),http://www.metrolyrics.com/a-different-way-noizu-remix-lyrics-dj-snake.html
"Come on skinny love, just last the year
Pour a little salt, we were never here
My, my, my, my, my, my, my, my
Staring at the sink of blood and crushed veneerI tell my love to wreck it all
Cut out all the ropes and let me fall
My, my, my, my, my, my, my, my
Right at the moment this order's tallAnd I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kindAnd in the morning, I'll be with you
But it will be a different kind
'Cause I'll be holding all the tickets
And you'll be owning all the finesCome on skinny love, what happened here?
Suckle on the hope in light brassiere
My, my, my, my, my, my, my, my
Sullen load is full, so slow on the splitAnd I told you to be patient
And I told you to be fine
And I told you to be balanced
And I told you to be kindAnd now all your love is wasted
Then who the hell was I?
'Cause now I'm breaking at the britches
And at the end of all your linesWho will love you?
Who will fight?
Who will fall far behind?Come on skinny love
My, my, my, my, my, my, my, my
My, my, my, my, my, my, my, my",birdy,Skinny Love,http://www.metrolyrics.com/skinny-love-lyrics-the-voice.html
"[Verse 1]
I'm sick to death of eating breakfast on my own
(Oooh)
Starting out my daily blues
I'm sick to death of spilling coffee on my phone
(Oooh)
Scrolling through pictures of you
I'd like to say that maybe we could work it out
Could I know that it's no use[Hook]
If I ever find anyone half as good as you
I think maybe that will do[Verse 2]
I kissed a stranger in the hallway on your floor
He was wearing purple shoes
I asked him when he'd kiss me, could he close his eyes?
But he just looked at me confused
And people say my expectations are too high
But I'm not asking for the moon[Hook]
If I ever find anyone half as good as you
I think maybe that will do
If I ever find anyone half as good as you
I think maybe that will do[Bridge]
Oh, I'm so sick of laying here
So sick of counting tears
Hate everyone but you
Oh, oh
Oh, I'm so sick of waiting here
So frustrated
My suspicions are you're laying there and thinking of me too[Verse 3]
I learned the lyrics yesterday to all your songs
But there was one I couldn't do
I think the lyric with
""You'll miss me when I'm gone""
We cut the cords I was confused
I'd ask you out and you can tell me where I'm wrong
But then I know you just refused[Hook]
If I ever find anyone half as good as you
I think maybe that will do
If I ever find anyone half as good as you
I think maybe that will do",birdy,Half As Good As You,http://www.metrolyrics.com/half-as-good-as-you-lyrics-tom-odell.html
