user_id,recom_method,avg_score,final_score
chiouchingyi,0,3.45,
lintimken,0,3.15,
jacky,0,2.3,
keri,0,3.25,
vivian,0,3.3,
chiouzihling,0,3.0,
alex,0,3.45,
michael,0,3.5,
nicole,0,3.95,
bibicall,0,2.35,
smallhsu,0,2.25,3.0863636363636364
