,Roy Bliar - Grow Up_0_OK
Roy Bliar - Grow Up_0_OK,0.9999999999999998
NO THANXXX_0_OK,0.9998360244139433
EpikHigh-NOTHANXXX_0_OK,0.9998360244139433
Lie_0_OK,0.999787386256669
RainySeason_0_OK,0.9997532894579088
