num,audio_vector
00011,"[ 1.98933378e-01  5.88354766e-01  1.68643162e-01  3.65013927e-01
  1.54466242e-01  1.35410622e-01  1.99458763e-01  1.97633401e-01
  2.98677742e-01  2.76814848e-01  1.03235364e-01  2.48964086e-01
  2.65001148e-01  3.89646709e-01  5.26798844e-01  1.65712014e-01
 -4.04143143e+00  1.70027771e+01 -1.56651950e+00  8.37984562e+00
  2.65727901e+00 -8.85072410e-01 -1.26210368e+00 -2.36711740e+00
  7.83721304e+00  6.27023411e+00 -7.90758014e-01  4.51587772e+00
 -1.67361605e+00 -9.51025105e+00  1.20773640e+01  2.03936505e+00
 -2.20872398e-04 -4.35099643e-03 -3.08561529e-04 -4.30767353e-04
 -1.31385805e-03  5.63774608e-04 -3.13892298e-03  5.19629727e-04
 -3.07125210e-03 -1.84528542e-03  1.48262988e-04 -9.89866562e-04
  1.71163271e-04  2.55120718e-03 -3.36870984e-03  1.29023627e-03]"
00012,"[ 3.16035032e-01  9.56027746e-01  2.12027103e-01  6.01206899e-01
  2.01435462e-01  1.87445179e-01  2.89872020e-01  4.44644064e-01
  5.73289573e-01  5.09011924e-01  1.75063446e-01  3.16426367e-01
  3.54563355e-01  7.12962925e-01  7.79488504e-01  3.05918574e-01
 -4.20495796e+00  1.69181385e+01 -1.38202453e+00  8.37455559e+00
  2.44600391e+00 -7.02571571e-01 -1.10769963e+00 -2.50311279e+00
  7.90415192e+00  6.55649948e+00 -7.67734885e-01  4.47818661e+00
 -1.91703534e+00 -9.66822815e+00  1.24168711e+01  2.00287819e+00
  3.13227656e-03 -3.08523626e-03  6.12059847e-04 -5.23774033e-04
 -6.20387813e-04  5.20355504e-03  2.64591348e-03  8.71900310e-04
 -2.40310033e-03  2.96972959e-03 -3.20445523e-04  1.63507716e-03
  3.68085682e-04  1.82871126e-03 -3.09621167e-03 -4.12862270e-03]"
00013,"[ 2.81038463e-01  8.63509297e-01  2.12356120e-01  5.38680077e-01
  1.83850467e-01  2.01844886e-01  2.66592592e-01  4.65814978e-01
  5.43016016e-01  4.55932587e-01  1.56720459e-01  2.82262027e-01
  2.40967765e-01  6.20751858e-01  6.43820167e-01  2.49979228e-01
 -4.25912857e+00  1.67964516e+01 -1.38836932e+00  8.15159321e+00
  2.59444475e+00 -6.00769341e-01 -1.53850806e+00 -1.89975560e+00
  7.61459446e+00  6.11019993e+00 -6.28921986e-01  4.54999924e+00
 -2.18343496e+00 -9.34834385e+00  1.20145874e+01  1.85975897e+00
  6.05068655e-05  3.57397397e-03 -1.38152474e-03 -3.92680494e-04
  3.18705246e-03 -2.64657274e-03 -3.95599593e-04  1.38006684e-03
  3.99033738e-03  2.69399749e-04  1.39575350e-03  2.67242112e-03
 -2.10026875e-03 -5.67714373e-04 -2.52154342e-03 -3.67317699e-04]"
00014,"[ 3.10484290e-01  1.03498924e+00  2.75978178e-01  6.67097330e-01
  1.68479234e-01  1.48347586e-01  2.68606335e-01  4.34791982e-01
  5.98747134e-01  5.52083015e-01  1.55211911e-01  3.43524039e-01
  3.10275733e-01  7.41274893e-01  8.47600460e-01  2.91369975e-01
 -3.97997189e+00  1.65779743e+01 -1.58313632e+00  8.02166557e+00
  2.39821339e+00 -7.38562584e-01 -1.53539324e+00 -1.96846557e+00
  7.53088284e+00  6.12445784e+00 -7.42046058e-01  4.66578150e+00
 -2.11536288e+00 -9.19662094e+00  1.19916029e+01  1.80506802e+00
  2.03781352e-03  8.37631715e-04  1.88916680e-03 -1.97732958e-03
  1.43041290e-03  4.73963208e-04 -4.21913401e-03 -9.07963540e-04
 -1.29166424e-03 -1.23868029e-03  1.17008235e-03  1.68853540e-03
 -2.95121522e-03  2.31679077e-03 -2.28730226e-03 -1.58402642e-03]"
00015,"[ 1.46047503e-01  3.83050770e-01  1.80057213e-01  2.80470788e-01
  1.42074466e-01  1.73434138e-01  1.94521487e-01  2.63683856e-01
  2.25820050e-01  2.65130281e-01  1.32818386e-01  1.66540191e-01
  1.65565744e-01  2.95519918e-01  2.96965361e-01  1.91374272e-01
 -3.89036727e+00  1.68422394e+01 -1.76062417e+00  8.25819016e+00
  2.58066940e+00 -7.52454162e-01 -1.43872344e+00 -2.02147126e+00
  7.58579588e+00  6.10272789e+00 -5.64058661e-01  4.73335981e+00
 -1.91382694e+00 -9.39799881e+00  1.20493975e+01  2.05901885e+00
  5.55713513e-03 -1.64747931e-02 -3.81389617e-03 -7.96319379e-03
 -3.19652578e-04 -7.83762998e-04 -1.82172198e-03  7.04970778e-03
 -8.55491915e-03 -5.76231520e-03  3.59734574e-03 -5.98181007e-05
  1.18518563e-03  7.67061038e-03 -1.29132984e-02 -5.46686924e-04]"
00016,"[ 8.39154541e-01  2.27838063e+00  3.09524655e-01  1.30243075e+00
  4.98224348e-01  2.24596068e-01  5.62331796e-01  7.09782660e-01
  1.24284840e+00  1.02966392e+00  2.92620659e-01  5.79340279e-01
  7.15932310e-01  1.49941301e+00  1.62800658e+00  4.91721630e-01
 -3.79218316e+00  1.57119999e+01 -1.31409311e+00  7.65710831e+00
  2.41891456e+00 -7.13958502e-01 -1.27836192e+00 -1.99097395e+00
  7.17287922e+00  5.77387047e+00 -7.69299984e-01  4.20299816e+00
 -1.88316834e+00 -8.67599964e+00  1.11298733e+01  1.83417153e+00
  2.86367682e-04  5.92349381e-03 -6.45491462e-04  3.72857113e-03
  2.37869490e-03 -1.30507901e-03 -4.08717041e-05 -1.18445574e-03
  4.55809378e-03  2.30790113e-03 -2.80861155e-03  1.87806849e-05
 -7.47910422e-04 -3.74331924e-03  3.47723767e-03  8.44576746e-04]"
00017,"[ 2.52216756e-01  8.77562702e-01  2.00890720e-01  5.27942657e-01
  1.74276397e-01  1.82426274e-01  1.98754549e-01  3.97631824e-01
  4.17593181e-01  4.97314334e-01  1.08648546e-01  2.21827060e-01
  1.81839153e-01  6.22987449e-01  6.46632195e-01  2.79149860e-01
 -4.07296896e+00  1.70341282e+01 -1.53986835e+00  8.38500023e+00
  2.56302094e+00 -7.67547727e-01 -1.36589968e+00 -2.15258312e+00
  7.87060070e+00  6.30633831e+00 -7.28785813e-01  4.58021927e+00
 -1.98173130e+00 -9.50090408e+00  1.22534466e+01  1.87978101e+00
 -1.67800830e-03  4.39050870e-03 -1.70299309e-03  7.72275476e-04
  7.14124777e-04 -1.73330466e-03 -1.21294573e-03  3.32169986e-03
  2.48641744e-03  5.78213961e-04  7.61607455e-04  3.16312170e-04
 -1.20690210e-03 -1.59441813e-03 -5.98153497e-04  1.47992220e-04]"
00018,"[ 8.45877409e-01  2.35343266e+00  3.21371913e-01  1.32992673e+00
  4.09250647e-01  1.25795782e-01  3.28295588e-01  7.95952737e-01
  1.28756964e+00  1.07845998e+00  1.76742256e-01  5.19543946e-01
  4.94233608e-01  1.54475677e+00  1.76890707e+00  4.04151827e-01
 -3.81349182e+00  1.56478624e+01 -1.24185598e+00  7.56625605e+00
  2.41894174e+00 -7.09691703e-01 -1.23255074e+00 -1.97348797e+00
  7.03750420e+00  5.72741604e+00 -7.91136384e-01  4.12832403e+00
 -1.81308615e+00 -8.62188816e+00  1.10993729e+01  1.70857584e+00
  2.14814885e-03  2.84118530e-03  2.72367213e-03  7.76170665e-04
  4.95436355e-04 -1.75409605e-03  2.30221476e-04  1.43431063e-04
  9.33647156e-04  8.70627216e-04  8.23591358e-04 -1.38741630e-03
  6.69589537e-04  1.25646744e-03  4.88972053e-04 -1.81673212e-03]"
00019,"[ 2.11023971e-01  6.22068226e-01  2.29162544e-01  4.12928283e-01
  2.31832907e-01  1.68718040e-01  2.86063731e-01  4.47336644e-01
  3.44050139e-01  3.90545011e-01  1.83354795e-01  2.85006166e-01
  2.71083266e-01  4.57078218e-01  4.58113253e-01  2.23273039e-01
 -4.08606052e+00  1.72623253e+01 -1.49150217e+00  8.73676395e+00
  2.72724342e+00 -8.55356038e-01 -1.10841203e+00 -2.50240779e+00
  7.94663811e+00  6.58904171e+00 -8.09085131e-01  4.46207047e+00
 -1.66875088e+00 -9.78238392e+00  1.22431259e+01  2.18492079e+00
 -3.17503703e-03  9.82922367e-04 -1.10494403e-03  5.30529328e-03
 -6.70065737e-05  4.37134797e-04  1.31215270e-03 -1.09474425e-03
 -2.44559386e-04 -1.91503101e-04  1.42348628e-03  3.86676727e-04
  5.41328620e-04 -3.99094565e-03  4.13046739e-03  4.97129228e-04]"
00020,"[ 3.02592367e-01  6.63571298e-01  1.96597531e-01  4.46478635e-01
  1.85952380e-01  1.31860808e-01  2.36156702e-01  3.43736947e-01
  3.70858043e-01  3.85532469e-01  1.61567420e-01  2.25174159e-01
  2.73822486e-01  4.74819303e-01  4.82893914e-01  2.33281076e-01
 -4.24365282e+00  1.69129333e+01 -1.41189146e+00  8.26301479e+00
  2.57498670e+00 -7.70238638e-01 -1.22474241e+00 -2.36876464e+00
  7.70688057e+00  6.34474993e+00 -7.36299932e-01  4.42669821e+00
 -1.89089608e+00 -9.48656082e+00  1.20682964e+01  1.90592980e+00
 -4.77508347e-03  5.20845560e-03  1.60605212e-03  2.17152661e-03
 -6.43195505e-04 -2.15985963e-04 -1.35292683e-03 -2.45471439e-03
  2.41912838e-03  2.62637627e-03 -3.80885588e-04 -7.40186272e-04
 -3.24220548e-03 -1.80507318e-04  3.02831536e-03 -3.83009258e-04]"
