,ja_0_OK
ja_0_OK,0.9999999999999994
wf_0_OK,0.9999782244261206
RainySeason_0_OK,0.9999132667395896
Lie_0_OK,0.9998803101385969
Hollywood_0_OK,0.9998532809267623
