id,title,a_name,tempo,energy,danceability,loudness,valence,acousticness
76,My Brain Tells My Body,The Vandals,175.822,0.981,-2.451,0.304,0.782,0.000371
77,My Sundown,Jimmy Eat World,95.989,0.489,-10.29,0.545,0.188,0.0758
78,Natural,Imagine Dragons,100,0.611,-6.112,0.704,0.22,0.217
79,New,Daya,106.971,0.742,-4.331,0.715,0.322,0.052
80,New Slaves,Kanye West,68.456,0.593,-4.34,0.5,0.329,0.141
81,Next to You,Poolside,93.987,0.764,-5.279,0.785,0.96,0.149
82,No Place,Backstreet Boys,91.995,0.533,-5.439,0.716,0.502,0.147
83,no tears left to cry,Ariana Grande,121.993,0.713,-5.507,0.699,0.354,0.04
84,No Type,Rae Sremmurd,125.008,0.483,-7.797,0.888,0.226,0.013
85,Now Or Never,Halsey,110.03,0.585,-4.861,0.67,0.447,0.107
86,Okay,Holy Ghost!,110.997,0.637,-5.364,0.8,0.877,0.0131
87,Please Mr. Postman,The Marvelettes,121.451,0.783,-5.191,0.786,0.968,0.723
88,Preach,John Legend,91.906,0.729,-5.712,0.508,0.412,0.0681
89,Preach,John Legend,91.906,0.729,-5.712,0.508,0.412,0.0681
90,Pussy,Brazilian Girls,138.035,0.462,-7.776,0.928,0.886,0.0795
91,Rewrite The Stars,Zac Efron,125.046,0.619,-7.005,0.684,0.284,0.0716
92,Rill Rill,Sleigh Bells,73.048,0.804,-3.452,0.483,0.811,0.0356
93,rockstar,Post Malone,159.847,0.535,-6.09,0.587,0.14,0.117
94,See Blind Through,Canyons,108.029,0.747,-5.747,0.686,0.696,0.111
95,Sign of the Times,Harry Styles,119.972,0.595,-4.63,0.516,0.222,0.0275
96,Silence,Marshmello,141.971,0.761,-3.093,0.52,0.286,0.256
97,Slide,Calvin Harris,104.066,0.795,-3.299,0.736,0.511,0.498
98,Smell Yo D*ck,Riskay,116.635,0.383,-13.661,0.863,0.331,0.0561
99,SOLO,JENNIE,95.045,0.642,-5.165,0.751,0.388,0.0861
100,Solo Dance,Martin Jensen,114.981,0.843,-2.409,0.753,0.405,0.0446
101,Sorry Not Sorry,Demi Lovato,144.004,0.635,-6.917,0.702,0.873,0.0223
102,Speakerbox,Bassnectar,87.969,0.88,-2.01,0.576,0.514,0.0208
103,Spill The Wine,Eric Burdon,120.368,0.528,-10.666,0.818,0.896,0.377
104,Starboy,The Weeknd,186.005,0.588,-7.015,0.678,0.486,0.141
105,Stay With Me,CHANYEOL,78.643,0.526,-4.686,0.314,0.195,0.428
106,Strip That Down,Liam Payne,106.023,0.497,-5.484,0.874,0.542,0.22
107,SUBEME LA RADIO,Enrique Iglesias,91.048,0.823,-3.297,0.684,0.647,0.0744
108,Sunshine Of Your Love,Cream,115.078,0.481,-12.59,0.684,0.784,0.475
109,Sweater Weather,The Neighbourhood,124.053,0.807,-2.81,0.612,0.398,0.0495
110,The Buzz (feat. Mataya & Young Tapz),Hermitude,140.943,0.583,-6.434,0.726,0.491,0.334
111,The Cure,Lady Gaga,100.002,0.506,-4.863,0.697,0.516,0.0792
112,The Other Side,Hugh Jackman,153.99,0.795,-8.45,0.638,0.31,0.00433
113,The Wire,HAIM,113.682,0.632,-5.569,0.548,0.535,0.0126
114,There for You,Martin Garrix,105.969,0.644,-7.607,0.611,0.13,0.124
115,"""They Dont Know - Original Mix""",Disciples,120.001,0.778,-5.485,0.807,0.788,0.0132
116,Too Far Gone,Bradley Cooper,67.479,0.482,-6.621,0.565,0.342,0.0385
117,Traffic,Lil Reese,130.047,0.513,-5.318,0.908,0.257,0.00271
118,Trap Queen,Fetty Wap,148.075,0.873,-3.803,0.746,0.817,0.0244
119,Trust Me Danny,ILoveMakonnen,142.053,0.833,-4.982,0.502,0.596,0.000472
120,U Mad,Vic Mensa,134.009,0.581,-6.492,0.706,0.435,0.0151
121,Walk Me Home,P!nk,88.038,0.453,-6.119,0.652,0.432,0.0519
122,Walking Into Sunshine,Central Line,112.235,0.56,-7.614,0.888,0.817,0.0165
123,Weak,AJR,123.98,0.637,-4.518,0.673,0.678,0.137
124,What I Miss Most,Calum Scott,133.001,0.758,-6.314,0.639,0.474,0.0376
125,White Iverson,Post Malone,130.098,0.562,-7.678,0.675,0.309,0.233
126,Wild Thoughts,DJ Khaled,97.98,0.672,-3.094,0.671,0.632,0.0329
127,Without Me,Halsey,136.041,0.488,-7.05,0.752,0.533,0.297
128,Young Dumb & Broke,Khalid,136.949,0.539,-6.351,0.798,0.394,0.199
129,Us Against the World,Westlife,119.918,0.703,-4.57,0.513,0.337,0.18
130,More than Words,Westlife,94.014,0.295,-9.7,0.67,0.507,0.518
131,Payphone,Maroon 5,110.015,0.752,-4.813,0.743,0.545,0.0188
132,Makes Me Wonder,Maroon 5,113.996,0.851,-2.429,0.803,0.881,0.00485
133,Feelings,Maroon 5,121.937,0.727,-5.364,0.693,0.746,0.00365
134,Just A Feeling,Maroon 5,149.917,0.621,-5.094,0.602,0.306,0.143
