id,title,a_name,tempo,energy,danceability,loudness,valence,acousticness
74,Nothing Ever Happened,Deerhunter,150.102,0.841,-6.31,0.264,0.716,1.94E-05
75,One Nation Under a Groove,Funkadelic,122.431,0.777,-8.434,0.782,0.872,0.304
76,One Night,Lil Yachty,130.007,0.476,-12.686,0.762,0.375,0.366
77,Operate,ASTR,126.005,0.927,-7.446,0.592,0.326,1.42E-05
78,Our Love,Caribou,125.002,0.495,-10.747,0.729,0.483,0.131
79,Paperthin Hymn,Anberlin,180.434,0.597,-12.107,0.298,0.536,0.00111
80,Papi Pacify,FKA twigs,109.508,0.602,-7.655,0.487,0.2,0.0685
81,Passionfruit,Drake,111.963,0.459,-11.556,0.804,0.372,0.304
82,Passionfruit,Drake,111.963,0.459,-11.556,0.804,0.372,0.304
83,Platoon,Jungle,100.038,0.834,-7.52,0.638,0.777,0.0447
84,Pyramids,Frank Ocean,107.998,0.661,-6.111,0.401,0.166,0.0129
85,"""Queens Speech 4""",Lady Leshurr,93.287,0.531,-10.113,0.661,0.672,0.141
86,Rainy Streets,Blue In Green,91.349,0.435,-8.97,0.679,0.365,0.167
87,Rewind,Kelela,131.958,0.419,-6.602,0.746,0.225,0.0426
88,Sabali,Amadou & Mariam,124.012,0.639,-6.546,0.596,0.233,0.783
89,San Francisco,Foxygen,116.74,0.65,-7.953,0.623,0.879,0.245
90,Sanctified,Rick Ross,126.041,0.52,-6.301,0.739,0.247,0.0754
91,Saturday Love,Toro y Moi,117.99,0.915,-6.264,0.586,0.749,0.00706
92,Scared to Be Lonely,Martin Garrix,137.972,0.54,-7.786,0.584,0.195,0.0895
93,Sentimental Trash,Sweet Valley,73.061,0.607,-10.088,0.557,0.235,0.00266
94,Shape of You,Ed Sheeran,95.977,0.652,-3.183,0.825,0.931,0.581
95,Skyfall,Adele,75.881,0.552,-6.864,0.346,0.0789,0.417
96,Sometimes,Heems,96.318,0.752,-6.088,0.446,0.596,0.0174
97,Spooky,Dusty Springfield,106.283,0.445,-12.725,0.752,0.964,0.5
98,Started From the Bottom,Drake,86.311,0.523,-7.856,0.792,0.545,0.0365
99,Strychnine,The Sonics,143.299,0.957,-6.101,0.331,0.548,0.419
100,Subways,The Avalanches,111.74,0.874,-6.821,0.485,0.528,0.181
101,Sunflower,Stanaj,83.002,0.278,-10.471,0.58,0.349,0.486
102,Take You On,Peaches,127.054,0.428,-8.207,0.872,0.471,0.00226
103,The Greatest Show,Hugh Jackman,157.92,0.824,-7.36,0.417,0.4,0.000239
104,The Incidentals,"""Alishas Attic""",82.625,0.555,-7.358,0.521,0.653,0.217
105,Then He Kissed Me,The Crystals,135.917,0.682,-7.416,0.44,0.626,0.681
106,They Come in Gold,Shabazz Palaces,108.066,0.843,-7.416,0.583,0.411,0.119
107,This Is America,Childish Gambino,120.024,0.463,-6.159,0.854,0.549,0.117
108,This Is Me,Keala Settle,191.702,0.704,-7.276,0.284,0.1,0.00583
109,Tides of Neptune,Virgo,129.952,0.586,-9.414,0.6,0.205,0.0112
110,Town Called Malice,The Jam,101.798,0.917,-8.806,0.553,0.781,0.00265
111,Trill Hoe,Western Tink,127.136,0.481,-10.488,0.798,0.62,0.0302
112,Unbound,Cathedrals,173.954,0.782,-6.769,0.45,0.222,0.00919
113,Uncast Shadow Of A Southern Myth,Parquet Courts,76.27,0.58,-8.131,0.468,0.325,0.34
114,Walk,Kwabs,145.265,0.648,-7.018,0.657,0.841,0.552
115,Water No Get Enemy,Fela Kuti,90.983,0.925,-7.713,0.644,0.884,0.107
116,We Exist,Arcade Fire,116.392,0.506,-8.742,0.567,0.358,0.00731
117,What About Us,P!nk,113.617,0.588,-6.177,0.489,0.187,0.0285
118,"""Why Dont They Let Us Fall in Love""",The Ronettes,108.212,0.813,-5.78,0.506,0.844,0.378
119,Willing & Able,Disclosure,199.987,0.632,-6.884,0.571,0.943,0.252
120,Wishes,Beach House,74.822,0.772,-7.31,0.368,0.213,0.163
121,Xanny Family,Future,75.044,0.412,-7.148,0.838,0.166,0.0344
122,You Raise Me Up,Westlife,75.048,0.358,-6.596,0.129,0.172,0.631
