id,title,a_name,tempo,energy,danceability,loudness,valence,acousticness
76,Look Back At It,A Boogie Wit da Hoodie,96.057,0.587,-5.075,0.791,0.536,0.407
77,Look What I Found,Lady Gaga,97.012,0.493,-4.1,0.849,0.447,0.456
78,Lose My Mind,A-Trak,110.007,0.684,-6.89,0.649,0.605,0.336
79,Losing You,Solange,113.997,0.798,-6.175,0.735,0.464,0.0579
80,Lost In Japan,Shawn Mendes,107.178,0.852,-5.34,0.694,0.377,0.0882
81,Lost In The Fire,Four of Diamonds,128.625,0.431,-6.633,0.478,0.343,0.638
82,Magnolia,Young & Sick,139.96,0.446,-8.49,0.59,0.323,0.489
83,Mama,Jonas Blue,104.014,0.794,-4.118,0.738,0.566,0.101
84,Mandy,Westlife,105.591,0.597,-6.036,0.43,0.334,0.248
85,Maneuvering,ILoveMakonnen,130.025,0.773,-4.722,0.763,0.343,0.00705
86,Milly Rock,2milly,135.45,0.449,-12.037,0.45,0.139,0.00791
87,Music To My Eyes,Lady Gaga,114.805,0.356,-9.044,0.625,0.325,0.392
88,Never Enough,Loren Allred,86.777,0.394,-8.903,0.277,0.227,0.423
89,Never Had A Dream Come True,S Club 7,122.919,0.536,-5.593,0.643,0.471,0.485
90,New Rules,Dua Lipa,116.073,0.7,-6.021,0.762,0.608,0.00261
91,No Promises,Cheat Codes,112.956,0.667,-5.445,0.741,0.595,0.0575
92,No Rest For The Wicked,Lykke Li,97.967,0.445,-7.202,0.312,0.272,0.365
93,"""Oh My Darling Dont Meow (Just Blaze Remix)""",Run The Jewels,149.97,0.77,-6.954,0.633,0.329,0.284
94,One Dance,Drake,103.99,0.61,-5.857,0.796,0.391,0.00842
95,One More Chance,James Collins,132.371,0.139,-10.721,0.39,0.108,0.917
96,Paris,The Chainsmokers,99.999,0.644,-6.763,0.646,0.251,0.0243
97,Perfect,Ed Sheeran,95.05,0.448,-6.312,0.599,0.168,0.163
98,"""Poppin My Collar""",Three 6 Mafia,146.747,0.795,-4.579,0.729,0.856,0.354
99,Pretty Girl,Maggie Lindemann,121.03,0.868,-4.661,0.703,0.733,0.15
100,Return Of The Mack - C & J Street Mix,Mark Morrison,95.487,0.833,-5.379,0.715,0.612,0.00631
101,Ruin My Life,Zara Larsson,124.896,0.699,-5.265,0.665,0.585,0.423
102,Seasons in the Sun,Westlife,87.973,0.56,-6.221,0.598,0.535,0.195
103,Sexy Socialite,Chromeo,142.007,0.686,-5.817,0.785,0.965,0.101
104,Shallow,Lady Gaga,95.799,0.385,-6.362,0.572,0.323,0.371
105,She,Elvis Costello,130.215,0.284,-12.866,0.332,0.311,0.459
106,Shotgun,George Ezra,115.741,0.735,-4.733,0.672,0.754,0.286
107,Side To Side,Ariana Grande,159.174,0.736,-5.84,0.65,0.612,0.0513
108,Slumlord,Neon Indian,108.003,0.98,-4.914,0.629,0.808,0.228
109,"""Somebodys Watching Me""",Rockwell,124.091,0.712,-4.128,0.767,0.804,0.0409
110,Someone You Loved,Lewis Capaldi,109.891,0.405,-5.679,0.501,0.446,0.751
111,Something Just Like This,The Chainsmokers,103.019,0.635,-6.769,0.617,0.446,0.0498
112,Something Left To Give,The Starting Line,103.982,0.709,-5.518,0.444,0.351,0.0474
113,Somewhere Only We Know,Keane,172.004,0.665,-4.203,0.448,0.304,0.06
114,Starving,Hailee Steinfeld,99.989,0.615,-4.238,0.729,0.508,0.378
115,Stay,Post Malone,85.913,0.468,-5.396,0.479,0.35,0.414
