no,track,singer,singerID,mp3URL
2295,Feelings,John Newman,34v5MVKeQnIo0CWYMbbrPf,https://p.scdn.co/mp3-preview/df8713fbe4da5532773e4ba4b300b0e73e69eece?cid=92ac8297791c442aa3ad223eab515b17
2296,Its Too Late (Alt. Version),Eric Burdon,3miNucraVWk4hdVsIxn7id,https://p.scdn.co/mp3-preview/e1195aba6acbea04c928bd29e9928183ff746c8a?cid=92ac8297791c442aa3ad223eab515b17
2297,Ouverture - I Drove All Night - Montreal Show,C矇line Dion,4S9EykWXhStSc15wEx8QFK,https://p.scdn.co/mp3-preview/aeed8a4709991a7cc8a4bd18a2423871f5714afa?cid=92ac8297791c442aa3ad223eab515b17
2298,Girl With The Tattoo Enter.lewd,Miguel,360IAlyVv4PCEVjgyMZrxK,https://p.scdn.co/mp3-preview/995dee0c40fc69d25f9862c2ccb4ffa4c635e0ce?cid=92ac8297791c442aa3ad223eab515b17
2299,Hat Full of Stars,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,https://p.scdn.co/mp3-preview/6073ee6b5a841fa446fdb596e738d46eaf9265a8?cid=92ac8297791c442aa3ad223eab515b17
2300,This Bed,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,https://p.scdn.co/mp3-preview/92473205ec23d8f68b7c8edc55c877043485bdf5?cid=92ac8297791c442aa3ad223eab515b17
2301,The Lazy Song,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,https://p.scdn.co/mp3-preview/6dda0f582db7db112f377d36df313cf04e706f27?cid=92ac8297791c442aa3ad223eab515b17
2302,North,Prince,5a2EaR3hamoenG9rDuVn8j,https://p.scdn.co/mp3-preview/4e7fd4bbd39a07de37dce5e4aaf5e87869f571ef?cid=92ac8297791c442aa3ad223eab515b17
2303,Expectations,Lauren Jauregui,3J0BpFVUc9LeOIVeN5uNhU,https://p.scdn.co/mp3-preview/0fd415cf52bb6a576a24b98f529b3467185a7f76?cid=92ac8297791c442aa3ad223eab515b17
2304,Blue Light,Kelela,1U0sIzpRtDkvu1hXXzxh60,https://p.scdn.co/mp3-preview/50b0d74390fac8d8a524c4fdb5445a4d785c64bc?cid=92ac8297791c442aa3ad223eab515b17
2305,Im Yours,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,https://p.scdn.co/mp3-preview/c58f1bc9160754337b858a4eb824a6ac2321041d?cid=92ac8297791c442aa3ad223eab515b17
2306,Santa Claus Is Comin to Town,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,https://p.scdn.co/mp3-preview/c7053ea668cfbf6305b040b5875f84df8cb7016f?cid=92ac8297791c442aa3ad223eab515b17
