no,track,singer,singerID,mp3URL
6001,Dancing In The Dark,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,https://p.scdn.co/mp3-preview/9760294e22b5b7c4ae67e29817fa9bfa2836b7cf?cid=92ac8297791c442aa3ad223eab515b17
6002,For The Boys,The Cardigans,1tqZaCwM57UFKjWoYwMLrw,https://p.scdn.co/mp3-preview/8db3618bffd88143f83c7b495adb825be6c43cd5?cid=92ac8297791c442aa3ad223eab515b17
6003,Glissandra,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,https://p.scdn.co/mp3-preview/2ae58e4fb927d2f86d1e9df07eed177a63337665?cid=92ac8297791c442aa3ad223eab515b17
6004,Maybe,Birdy,2WX2uTcsvV5OnS0inACecP,https://p.scdn.co/mp3-preview/f1d4a2147e819875a1f8c11b6c050ee8e1a5ae9b?cid=92ac8297791c442aa3ad223eab515b17
6005,Start A Party,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,https://p.scdn.co/mp3-preview/d46cb104e901e2fc8c16194962e80e7f0eb9f4eb?cid=92ac8297791c442aa3ad223eab515b17
6006,Strawberries & Cigarettes,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,https://p.scdn.co/mp3-preview/c5114bee7317dd9b9381409352302dc988f66cf8?cid=92ac8297791c442aa3ad223eab515b17
6007,Affection,Crystal Castles,7K3zpFXBvPcvzhj7zlGJdO,https://p.scdn.co/mp3-preview/e647f7931e43278de8937a0e974a2ebf75dc0b1e?cid=92ac8297791c442aa3ad223eab515b17
6008,Wildflower,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,https://p.scdn.co/mp3-preview/73740cdad355100b0a93392f5751f6ffb02f3d08?cid=92ac8297791c442aa3ad223eab515b17
6009,Fire,Big Sean,0c173mlxpT3dSFRgMO8XPh,https://p.scdn.co/mp3-preview/ef173adc1f5331d93bbd2f67f7224bee1cee67f7?cid=92ac8297791c442aa3ad223eab515b17
6010,Sugaree,The Sonics,2g3PKH7Z1Ofn5oGR6oDjLy,https://p.scdn.co/mp3-preview/2faa15bb8b78b140ca8385801ed969fbce36e263?cid=92ac8297791c442aa3ad223eab515b17
6011,Ten More Days,Avicii,1vCWHaC5f2uS3yhpwWbIA6,https://p.scdn.co/mp3-preview/a7994162bc616f8e8c46b49522a6da2cae8912bf?cid=92ac8297791c442aa3ad223eab515b17
6012,The Piano,PJ Harvey,12VaqyEhgwDRuFfEqbnrpz,https://p.scdn.co/mp3-preview/e3eb922c66166deda64d3ff64d8d413b452ee184?cid=92ac8297791c442aa3ad223eab515b17
6013,My Love,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,https://p.scdn.co/mp3-preview/83ae1eb6dbb37904d73e38fde081880551fad61e?cid=92ac8297791c442aa3ad223eab515b17
6014,We Call It Christmas,Little River Band,6clbbhnIqpHnqxwtOWcilg,https://p.scdn.co/mp3-preview/c253ced86896891df2b915c84b296cd08945f1fe?cid=92ac8297791c442aa3ad223eab515b17
6015,Soldiers,Macklemore,3JhNCzhSMTxs9WLGJJxWOY,https://p.scdn.co/mp3-preview/37608f81b10dbd34d88c1cb4e3c16fbae4113910?cid=92ac8297791c442aa3ad223eab515b17
6016,Drunk In LA,Beach House,56ZTgzPBDge0OvCGgMO3OY,https://p.scdn.co/mp3-preview/cc8005e73c80d570319ccb6127d5bb1d87d063a5?cid=92ac8297791c442aa3ad223eab515b17
6017,Yellow,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,https://p.scdn.co/mp3-preview/c119ca773ef844108da21c4679dc54c007cf0926?cid=92ac8297791c442aa3ad223eab515b17
