no,track,singer,singerID,mp3URL
2885,Down in a Rabbit Hole,Bright Eyes,5o206eFLx38glA2bb4zqIU,https://p.scdn.co/mp3-preview/d47bd1daceb1e84caba4fc4f0aee0c4a67314eb0?cid=92ac8297791c442aa3ad223eab515b17
2886,Paradise - Extended,Big Sean,0c173mlxpT3dSFRgMO8XPh,https://p.scdn.co/mp3-preview/5f6596d598792b4ef30c7b101af199ec4ee11d21?cid=92ac8297791c442aa3ad223eab515b17
2887,La Paga,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,https://p.scdn.co/mp3-preview/27c69955fca92341698f48179804ba90f92ae8e3?cid=92ac8297791c442aa3ad223eab515b17
2888,"Work for It (feat. Big Sean, Gucci Mane & 2 Chainz)",DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,https://p.scdn.co/mp3-preview/92acbea834044a0102223bf8418b30cf67bc239d?cid=92ac8297791c442aa3ad223eab515b17
2889,"This Aint A Scene, Its An Arms Race",Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,https://p.scdn.co/mp3-preview/bc45c594ad9abac135d29ccdf55632f0b6f0f6f2?cid=92ac8297791c442aa3ad223eab515b17
2890,Shot Down,Khalid,6LuN9FCkKOj5PcnpouEgny,https://p.scdn.co/mp3-preview/8e2f6781f79c6582cf83bbb5471e28d76b71e5e4?cid=92ac8297791c442aa3ad223eab515b17
2891,The Faker,Ty Segall,58XGUNsRNu3cVOIOYk5chx,https://p.scdn.co/mp3-preview/b6228008caf0c08453e0ab3b4578431951115325?cid=92ac8297791c442aa3ad223eab515b17
2892,Run Into Flowers,M83,63MQldklfxkjYDoUE4Tppz,https://p.scdn.co/mp3-preview/0cd2cc050ed92ee84fe24215107f6e5341eee4bf?cid=92ac8297791c442aa3ad223eab515b17
2893,Dont Settle,Glen Hansard,3Caot8EtHX6wLpNF2wRzS0,https://p.scdn.co/mp3-preview/182abeb479e0541b0045c4fab4892feb9c3e24c3?cid=92ac8297791c442aa3ad223eab515b17
2894,Alarm,YNW Melly,1cNDP5yjU5vjeR8qMf4grg,https://p.scdn.co/mp3-preview/bc4d2fa364d22a9596a6f4f050385a41a12331e2?cid=92ac8297791c442aa3ad223eab515b17
2895,Ocean of Noise,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,https://p.scdn.co/mp3-preview/103d8d7584d63beb50f5fabd00cdf17c597b129b?cid=92ac8297791c442aa3ad223eab515b17
2896,Higher,The Cardigans,1tqZaCwM57UFKjWoYwMLrw,https://p.scdn.co/mp3-preview/02bbac102ee4f4b05bacd49e44d82c5eac69bacd?cid=92ac8297791c442aa3ad223eab515b17
2897,"Well, Did You Evah",Robbie Williams,2HcwFjNelS49kFbfvMxQYw,https://p.scdn.co/mp3-preview/f16c31d8241715f9363fced97a72c75f2a0129d7?cid=92ac8297791c442aa3ad223eab515b17
2898,Beaux Dimanches,Amadou & Mariam,3KH7WsR2JZQ94Ik8SyabU6,https://p.scdn.co/mp3-preview/09597a7471a4254994a65b88365ecbbaeca3b8f8?cid=92ac8297791c442aa3ad223eab515b17
2899,U KNOW,Prince,5a2EaR3hamoenG9rDuVn8j,https://p.scdn.co/mp3-preview/315c9affdbcbf9863c9f44299aa043a917400f8d?cid=92ac8297791c442aa3ad223eab515b17
2900,True Colors,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,https://p.scdn.co/mp3-preview/a907cb3f6012784be3378c99fd726a3398519c12?cid=92ac8297791c442aa3ad223eab515b17
2901,Waitin 4 U,Foxygen,55LHFEtIplWhsfyWZUwkf4,https://p.scdn.co/mp3-preview/d2381c44bf3846b05f533a4eb8aa16453fc1d4d1?cid=92ac8297791c442aa3ad223eab515b17
2902,Sympathy (feat. Rainsford),Twin Shadow,6fLrPFLWLSCrp7gcTZXcKb,https://p.scdn.co/mp3-preview/49f78af18e1334b7d9ad32229826738cae943e7a?cid=92ac8297791c442aa3ad223eab515b17
2903,Michael Jordan,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,https://p.scdn.co/mp3-preview/11818bbaa14e2c075308394fa9e72fb190ce1936?cid=92ac8297791c442aa3ad223eab515b17
2904,Unfaithful,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,https://p.scdn.co/mp3-preview/d7ad15613de17ef04a6db7ae2740a53e4c0226e3?cid=92ac8297791c442aa3ad223eab515b17
2905,Vamos a Perrear,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,https://p.scdn.co/mp3-preview/8983f31455e4f079f0dfd9e292695d98e2c038c7?cid=92ac8297791c442aa3ad223eab515b17
2906,Preach,Drake,3TVXtAsR1Inumwj472S9r4,https://p.scdn.co/mp3-preview/a04ca12bd0d602c15a56756c994aefee828975f7?cid=92ac8297791c442aa3ad223eab515b17
2907,Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,7CajNmpbOovFoOoasH2HaY,https://p.scdn.co/mp3-preview/e0889a40e2812efca0b3018b12f3964a4d3edf17?cid=92ac8297791c442aa3ad223eab515b17
2908,Silent Night,The Shirelles,0x83OBqixqdCHnStP5VMcn,https://p.scdn.co/mp3-preview/ea74fccace699b6559a21c2d4c9bcced1ca98e67?cid=92ac8297791c442aa3ad223eab515b17
2909,Music for My Mother,Funkadelic,450o9jw6AtiQlQkHCdH6Ru,https://p.scdn.co/mp3-preview/f20b74f398191da112e82e201e3e54fb3b470d5d?cid=92ac8297791c442aa3ad223eab515b17
2910,I Dont Even Know Your Name,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,https://p.scdn.co/mp3-preview/4748b438792f1e9a79947e15db1e8a61f6a63fda?cid=92ac8297791c442aa3ad223eab515b17
