no,track,singer,singerID,mp3URL
2601,My Love (feat. Drake),Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,https://p.scdn.co/mp3-preview/0e807f7db684bc0b299044719531ddd23e9a2239?cid=92ac8297791c442aa3ad223eab515b17
2602,FOOLISH,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,https://p.scdn.co/mp3-preview/e6ebb69cf80202023e46c1e4cbac9626f772940c?cid=92ac8297791c442aa3ad223eab515b17
2603,Evidence,Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,https://p.scdn.co/mp3-preview/9e657509df447397291468ba3814f6ac653451b0?cid=92ac8297791c442aa3ad223eab515b17
2604,Enter the Chrome Forest,Chrome Sparks,2pTCZ9C1fXdaVlv6d5EIXM,https://p.scdn.co/mp3-preview/361aa67d7b79ddcbd1d5d5722d9f7dac06ec9618?cid=92ac8297791c442aa3ad223eab515b17
2605,Invisible,Taylor Swift,06HL4z0CvFAxyc27GXpf02,https://p.scdn.co/mp3-preview/3a717a5403c6a32fed778288a37cab9baa7eba95?cid=92ac8297791c442aa3ad223eab515b17
2606,The River,PJ Harvey,12VaqyEhgwDRuFfEqbnrpz,https://p.scdn.co/mp3-preview/e8e74544c8f9a342ac59bc9a196221bfd513f485?cid=92ac8297791c442aa3ad223eab515b17
2607,Sex With Me,Chief Keef,15iVAtD3s3FsQR4w1v6M0P,https://p.scdn.co/mp3-preview/28b55ab7b69b4e823408bc49fae3b81931395f31?cid=92ac8297791c442aa3ad223eab515b17
2608,Lose It,Stars Go Dim,4O5EDKGt6YC5IXkOArVqk3,https://p.scdn.co/mp3-preview/504fc45ba0652e7f8cbdad465d8e741eec14331a?cid=92ac8297791c442aa3ad223eab515b17
2609,talk is overrated (stripped.),Jeremy Zucker,3gIRvgZssIb9aiirIg0nI3,https://p.scdn.co/mp3-preview/8c86b6af18385c7a0265bcb08f69df0bb9e13c46?cid=92ac8297791c442aa3ad223eab515b17
2610,Dont Back Down,The Sonics,2g3PKH7Z1Ofn5oGR6oDjLy,https://p.scdn.co/mp3-preview/7a9b3e0dd444f98cc09d24897f6a9d06c5106bf8?cid=92ac8297791c442aa3ad223eab515b17
2611,Ok,The Vandals,4AqIRTZF6DDmKmdorgFug6,https://p.scdn.co/mp3-preview/66c281a7fb47affaf092e01bbe911e874c2d7d53?cid=92ac8297791c442aa3ad223eab515b17
2612,DKLA,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,https://p.scdn.co/mp3-preview/bfeb4c9db19f00271d3a29c65f13bebe69a3c04e?cid=92ac8297791c442aa3ad223eab515b17
2613,Falling Apart,Papa Roach,4RddZ3iHvSpGV4dvATac9X,https://p.scdn.co/mp3-preview/52b4d4d3966ffc77f97731750583f8bc0a1f4466?cid=92ac8297791c442aa3ad223eab515b17
2614,Thank You,Blood Orange,6LEeAFiJF8OuPx747e1wxR,https://p.scdn.co/mp3-preview/41713f99ea72673a37f76c7cf09acfb60d7fdaf0?cid=92ac8297791c442aa3ad223eab515b17
2615,Midnight Summer Jam,Justin Timberlake,31TPClRtHm23RisEBtV3X7,https://p.scdn.co/mp3-preview/6289a33d42e73ff9c56c9a2e5bf52b4b0da5b130?cid=92ac8297791c442aa3ad223eab515b17
2616,"Go To Hell, For Heavens Sake",Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,https://p.scdn.co/mp3-preview/a90f417b121b8a100b6af5469973c7b87df06935?cid=92ac8297791c442aa3ad223eab515b17
2617,Neighborhood #3 (Power Out),Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,https://p.scdn.co/mp3-preview/cd54f4011a1597853a61aa7f3967d57b096d4fd7?cid=92ac8297791c442aa3ad223eab515b17
2618,Keke Palmer,Chief Keef,15iVAtD3s3FsQR4w1v6M0P,https://p.scdn.co/mp3-preview/df3e49539baf8bec583e7c7345fa01aa1f08546d?cid=92ac8297791c442aa3ad223eab515b17
2619,Hey Ma,Family of the Year,7zsin6IgVsR1rqSRCNYDwq,https://p.scdn.co/mp3-preview/a31e6871e1323020d5f55755c26ebcbb1336e157?cid=92ac8297791c442aa3ad223eab515b17
2620,Dont Drop That Bomb On Me,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,https://p.scdn.co/mp3-preview/4be47c2fedf3dae80263c529e49d7567dc828515?cid=92ac8297791c442aa3ad223eab515b17
2621,Silent Machine,Cat Power,6G7OerKc3eBO9sVkRNopFC,https://p.scdn.co/mp3-preview/c3058b6d2cfd151aae56500364bb24800d2841de?cid=92ac8297791c442aa3ad223eab515b17
2622,Dream Captain,Deerhunter,38zTZcuN7nFvVJ6auhc6V3,https://p.scdn.co/mp3-preview/a38e2eb05675d294164bca5a4f988ffc7ba1dc64?cid=92ac8297791c442aa3ad223eab515b17
2623,Show You,Marshmello,64KEffDW9EtZ1y2vBYgq8T,https://p.scdn.co/mp3-preview/4dc4e0be7f1657d73b6ca686650fae043bf96388?cid=92ac8297791c442aa3ad223eab515b17
2624,Highlands,Bob Dylan,74ASZWbe4lXaubB36ztrGX,https://p.scdn.co/mp3-preview/51221da448dbffac916d07c55af26707821787f3?cid=92ac8297791c442aa3ad223eab515b17
2625,Elegy of Colonial Suffering,Parquet Courts,23NIwARd4vPbxt3wwNnJ6k,https://p.scdn.co/mp3-preview/ad3d1d0e512fe80d9ff8ddfcc1ccbf5882a04b0a?cid=92ac8297791c442aa3ad223eab515b17
2626,Young,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,https://p.scdn.co/mp3-preview/24f91824531f02e77a978bab9482ff93973b7d27?cid=92ac8297791c442aa3ad223eab515b17
2627,Mink Flow,Future,1RyvyyTE3xzB2ZywiAwp0i,https://p.scdn.co/mp3-preview/56b4cc6b287303b25c79ae2bb3f97b5ad5aec1fb?cid=92ac8297791c442aa3ad223eab515b17
2628,Mark McGwire,Future,1RyvyyTE3xzB2ZywiAwp0i,https://p.scdn.co/mp3-preview/faa3801f9dcbd9f1e0aa14f73757ff00249c8c0c?cid=92ac8297791c442aa3ad223eab515b17
2629,If You Wear That Velvet Dress,U2,51Blml2LZPmy7TTiAg47vQ,https://p.scdn.co/mp3-preview/ff2f3266d45ffd78dafc9174add12f5d719e56d6?cid=92ac8297791c442aa3ad223eab515b17
2630,Nowhere Fast,Bryan Adams,3Z02hBLubJxuFJfhacLSDc,https://p.scdn.co/mp3-preview/e71f2da61581a4627f583244079e29af5617f8b2?cid=92ac8297791c442aa3ad223eab515b17
2631,Bella Ciao (feat. Andre Sarate & Adolfo Celdran),Alok,0NGAZxHanS9e0iNHpR8f2W,https://p.scdn.co/mp3-preview/003eea97973c4d97a0375b5f57735a9bf2d9f450?cid=92ac8297791c442aa3ad223eab515b17
2632,Conversation With Myself,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,https://p.scdn.co/mp3-preview/0ce2ee58a68a039d07f5c7064276976abaa74c37?cid=92ac8297791c442aa3ad223eab515b17
2633,Underneath the Stars,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,https://p.scdn.co/mp3-preview/c41dcf6e82c945a819366600627c9caa1bccd5df?cid=92ac8297791c442aa3ad223eab515b17
2634,Shake It Off,Taylor Swift,06HL4z0CvFAxyc27GXpf02,https://p.scdn.co/mp3-preview/6aa266adea2cb5a1ee6f7621a14cbb5a310ef14c?cid=92ac8297791c442aa3ad223eab515b17
2635,Simple Life,Elton John,3PhoLpVuITZKcymswpck5b,https://p.scdn.co/mp3-preview/5bb187e548f404b8f0e4b4e071134883d98c95eb?cid=92ac8297791c442aa3ad223eab515b17
2636,Sleep When Im Gone,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,https://p.scdn.co/mp3-preview/8ff73a50bf4fbadc3ab21ef9ad00f618af3dade3?cid=92ac8297791c442aa3ad223eab515b17
